[00:00.00 - 00:02.24] 就人现在是一个不称职的医生了
[03:56.72 - 03:58.84] 我们二两天做那个其实是属于第二节
[03:58.84 - 04:01.08] 它本身是个训练环节
[04:01.08 - 04:03.32] 就是它其实就是让测量在里面能够
[04:03.32 - 04:04.64] 去你家想要交后
[04:04.64 - 04:06.80] 来做这属于第二节是演模型
[04:06.80 - 04:09.12] 而现在当然现在更多也在探索
[04:09.12 - 04:10.92] 第三节就是在这个世界模型中
[04:10.92 - 04:11.88] 结合更多的物理
[04:11.88 - 04:13.16] 定叫做AS4S
[04:13.16 - 04:15.16] 结合更多的物理的定约在里边
[04:15.16 - 04:17.00] 那个时代说第三节是个模型
[04:17.00 - 04:19.36] 那现在你们把自己的这个叫做
[04:19.36 - 04:21.64] 世界模型之后它有了1.0
[04:21.64 - 04:22.80] 那时候先叫世界模型
[04:22.80 - 04:25.12] 然后现在又迅速了2.0
[04:25.12 - 04:28.32] 就是这也是我们最近最热的一个东西
[04:28.32 - 04:32.24] 它2.0它跟之前的这个有什么样的变化
[04:32.24 - 04:34.56] 就是它本身不是一个记住的升级
[04:34.56 - 04:36.80] 还是在维度上的一个身为
[04:36.80 - 04:39.28] 就是如果把世界模1.0理解成一个
[04:39.28 - 04:40.32] 训练范式变化
[04:40.32 - 04:42.56] 就是换成防止训练AR
[04:42.56 - 04:45.16] 那么2.0本制文可以把这些时候开发变
[04:45.16 - 04:46.88] 开发范式的升级
[04:46.88 - 04:49.32] 也就是原来的整个开发
[04:49.32 - 04:51.88] 就是模型的进化过程
[04:51.88 - 04:53.28] 虽然是用世界模型做
[04:53.28 - 04:54.80] 但毕竟是人来主导
[04:54.80 - 04:56.64] 人来告诉他说应该叫什么方案改进
[04:56.64 - 04:58.08] 应该做来判断
[04:58.08 - 05:01.84] 但之后开发的主导权叫做A
[05:01.84 - 05:03.56] 所以在我可能2.0是一个开发
[05:03.56 - 05:05.56] 开发范式的变化
[05:05.56 - 05:07.48] 但是你可以讲到中旧是一个训练环境
[05:07.48 - 05:08.28] 一个训练世界
[05:08.28 - 05:10.84] 所以我还是保留了世界模型的这个词
[05:10.84 - 05:12.96] 就是最早我会把的叫做广义世界模型
[05:12.96 - 05:13.88] 但后来觉得怎样的
[05:13.88 - 05:15.44] 可是角2.0更合适
[05:15.44 - 05:18.16] 因为广义之后我不知道下一个什么的
[05:18.16 - 05:19.64] 2.0至少我给你知道下面的是什么
[05:19.64 - 05:20.36] 明白
[05:20.36 - 05:22.28] 这个其实就是它是一个开发范式变化
[05:22.28 - 05:24.84] 就是由AI来主导整开发过程了
[05:24.84 - 05:26.68] 那这个里面能不能够秒数一下
[05:26.68 - 05:29.56] 它如何构成或者是讲到这个开发范境
[05:29.56 - 05:31.52] 它是什么样的一个状态
[05:31.52 - 05:33.96] 那我要不还是所谓一点点的构成说起
[05:33.96 - 05:38.36] 也不这个相信更多的这个表达听广
[05:38.36 - 05:40.40] 1.0的时候它主要其实做三件事
[05:40.40 - 05:42.68] 一是它1.0目的
[05:42.68 - 05:43.68] 其实我们叫精度
[05:43.68 - 05:46.08] 就是说它要跟政治世界很接近
[05:46.08 - 05:46.88] 什么叫接近
[05:46.88 - 05:48.20] 比如它里面的交互
[05:48.20 - 05:49.84] 就是说开车之间
[05:49.84 - 05:52.28] 大家会能交互行为跟这件事很接近
[05:52.28 - 05:54.40] 它每有一套非常好的评价体系
[05:54.40 - 05:56.04] 我告诉它说什么就要开得好
[05:56.04 - 05:58.08] 以及它当然整个世界会非常真实
[05:58.08 - 06:00.08] 它各种法庆各种事件的频率
[06:00.08 - 06:02.20] 反正发生的是有做我们的这个
[06:02.20 - 06:04.72] 或者说一些就极端情告发生的可能都
[06:04.72 - 06:05.96] 都做非常真实
[06:05.96 - 06:07.76] 这个是1.0的时候
[06:07.76 - 06:08.24] 好
[06:08.24 - 06:09.40] 然后它2.0的话
[06:09.40 - 06:10.88] 直接说就是它需要真实
[06:10.88 - 06:13.20] 首先它说它需要知道
[06:13.20 - 06:15.16] 就原那个1.0的世界模型
[06:15.16 - 06:16.36] 它的精度
[06:16.36 - 06:17.68] 有它的Wealth link
[06:17.68 - 06:18.80] 就它最差的地方
[06:18.80 - 06:20.40] 所以改进要在哪里
[06:20.40 - 06:23.12] 以及我如何去改进它
[06:23.12 - 06:25.44] 如何去找到改进的实际的店
[06:25.44 - 06:26.64] 去改进的改进完之后
[06:26.64 - 06:27.68] 我要去能够验证
[06:27.68 - 06:29.12] 比如说你这个改进之后
[06:29.12 - 06:30.32] 是不是真的变好了
[06:30.32 - 06:32.20] 然后我回到路程继续去路上
[06:32.20 - 06:33.64] 再发下一轮发现
[06:33.64 - 06:36.08] 它这个世界模型程度要需要改进
[06:36.08 - 06:37.48] 所以它是等于是在那个
[06:37.48 - 06:38.56] 以那个为优内的状态
[06:38.56 - 06:41.28] 又见了一层整个一个训练
[06:41.28 - 06:42.76] 之前就是我记得
[06:42.76 - 06:44.16] 就叫做你最早给我刻铺
[06:44.16 - 06:45.92] 这个驻动价值的时候
[06:45.92 - 06:47.64] 比如说哪个地方开得不好
[06:47.64 - 06:48.76] 然后我们怎么去访备
[06:48.76 - 06:51.40] 这是完全你们这个天台工程师
[06:51.40 - 06:52.92] 或者你们的这个团队的成员
[06:52.92 - 06:54.64] 再去做的这个事情
[06:54.64 - 06:55.88] 然后现在好像
[06:55.88 - 06:57.00] 给你的这个描述里方
[06:57.00 - 06:58.28] 就变得很好的一次
[06:58.28 - 06:59.56] 就是刚就说
[06:59.56 - 07:00.48] 大不止的一件事
[07:00.48 - 07:02.04] 但这件事情其实就是由
[07:02.04 - 07:03.12] 哎呀慢慢开始做
[07:03.12 - 07:04.72] 起来不大人开始做
[07:04.72 - 07:05.80] 但至于原因
[07:05.80 - 07:06.44] 我想用去
[07:06.44 - 07:07.60] 之前用过一个词
[07:07.60 - 07:09.08] 也是被逼的
[07:09.08 - 07:10.80] 就是说今天的车整体价值
[07:10.80 - 07:12.96] 能力是比人好很多的
[07:12.96 - 07:15.40] 那么达到这个阶段之后
[07:15.40 - 07:18.88] 就是因为我本身人
[07:18.88 - 07:20.28] 最多也算过我人看这层
[07:20.28 - 07:21.60] 就经验来判断的
[07:21.60 - 07:24.28] 这件事情已经很难
[07:24.28 - 07:26.84] 帮助哎呀来判断它和好坏了
[07:26.84 - 07:28.88] 我老师比如说我个人和小伟企
[07:28.88 - 07:29.88] 我就去拿伟企举丁
[07:29.88 - 07:31.92] 我就是今天阿富汗够下得好坏
[07:31.92 - 07:33.12] 我没法判断
[07:33.12 - 07:35.24] 因为它没有好太多
[07:35.24 - 07:37.00] 就是一个车开得好坏
[07:37.00 - 07:38.24] 其实我也没法判断
[07:38.24 - 07:39.84] 因为它比我好太多
[07:39.84 - 07:42.36] 但是这时候哎呀给吧
[07:42.36 - 07:44.28] 我要举早点就是说
[07:44.28 - 07:45.48] 有个不要形象例子
[07:45.48 - 07:46.24] 在这帮好多说了
[07:46.24 - 07:47.04] 就是说
[07:47.04 - 07:48.28] 之前我相信大家可能听说
[07:48.28 - 07:48.88] 我很著名的
[07:48.88 - 07:49.16] 哎呀
[07:49.16 - 07:50.68] 我叫托林测试
[07:50.68 - 07:51.36] 把很多年来
[07:51.36 - 07:52.72] 这应该有七十年前
[07:52.72 - 07:54.64] 是把七八十年前托林测试的时候
[07:54.64 - 07:56.12] 当时最早托林测试版本
[07:56.12 - 07:57.68] 是一个人做的中间的吧
[07:57.68 - 07:59.64] 两边一个哎呀一个一个人
[07:59.64 - 08:00.72] 他不能区分
[08:00.72 - 08:01.40] 哎呀很冷的时候
[08:01.40 - 08:03.00] 他会叫托林测试
[08:03.00 - 08:04.00] 那个时候人的脑材
[08:04.00 - 08:05.36] 觉得是就是哎呀做得好
[08:05.36 - 08:07.32] 慢慢能做得更认一样
[08:07.32 - 08:09.72] 但一大哎呀超伟人之后
[08:09.72 - 08:11.04] 这个托林测试案里说
[08:11.04 - 08:13.60] 其实人上要判断那个好的那个是哎呀
[08:13.60 - 08:14.96] 但再往前一步
[08:14.96 - 08:17.16] 一旦两个比人都好的哎的时候
[08:17.16 - 08:18.28] 那个人你没有判断的脑
[08:18.28 - 08:19.96] 就订是哪个是好的一个差
[08:19.96 - 08:21.48] 因为他本身的水平
[08:21.48 - 08:23.24] 都在那两个哎呀之下
[08:23.24 - 08:23.92] 但这个时候
[08:23.92 - 08:26.04] 其实你可以做和哎呀来做托林测试
[08:26.04 - 08:28.00] 本身这是个哎呀反托林测试
[08:28.00 - 08:28.96] 他来做这件事情
[08:28.96 - 08:30.20] 所以哎呀在这件事情
[08:30.20 - 08:32.84] 他能够比人做得更好
[08:32.84 - 08:34.16] 所以这也是你说就是判断好啊
[08:34.16 - 08:35.36] 这还现在被逼的
[08:35.36 - 08:36.96] 就是我们人家做不到很好
[08:36.96 - 08:38.00] 说说我们那好多判断
[08:38.00 - 08:38.72] 后来实施证明
[08:38.72 - 08:40.20] 其实已经没什么帮助了
[08:40.20 - 08:42.08] 但是AI的判断能够比我们更准
[08:42.08 - 08:43.68] 这个被逼的就是
[08:43.68 - 08:44.76] 他是不是也意味着
[08:44.76 - 08:47.56] 就比如说我们在落地的这个过程能够
[08:47.56 - 08:48.72] 比如说落不太可惜
[08:48.72 - 08:50.96] 他还没有达到你们想要的那个目标
[08:50.96 - 08:52.00] 但是他这个时候
[08:52.00 - 08:54.80] 以前的方式已经没有办法在实现了
[08:54.80 - 08:56.76] 就是目标本身就是手架
[08:56.76 - 08:59.36] 就算达到了车也要看动力看得更好
[08:59.36 - 09:00.80] 这永远的时候价值了
[09:00.80 - 09:02.08] 就这个还是就说
[09:02.12 - 09:03.76] 这道并没有从商业化有危险的
[09:03.76 - 09:05.00] 就是至少小范围啊
[09:05.00 - 09:06.88] 但我觉得到了更大范围的时候
[09:06.88 - 09:09.12] 或者到了大家总会对总价预期
[09:09.12 - 09:10.32] 变得更高之后
[09:10.32 - 09:12.96] 我觉得我们需要持续提升总价是能力
[09:12.96 - 09:14.36] 那么转移至就要提升这个
[09:14.36 - 09:16.84] 事件目前早1.0的是一名的精度
[09:16.84 - 09:18.28] 那停这个精度的话
[09:18.28 - 09:19.40] 就需要新的方式
[09:19.40 - 09:21.44] 就要去你的开发凡事了
[09:21.44 - 09:22.56] 可能就换一种数据表述
[09:22.56 - 09:25.04] 就是事件不是一点人的精度
[09:25.04 - 09:25.72] 他的上
[09:25.72 - 09:26.80] 开始如果不这么做
[09:26.80 - 09:27.80] 他会有个上线
[09:27.80 - 09:29.60] 这个上线就是人的理解能力
[09:29.60 - 09:32.28] 向永远来组织能让他突破新的上线
[09:32.28 - 09:34.56] 就是在在这个过程里面
[09:34.56 - 09:37.44] 有没有一些新的技术
[09:37.44 - 09:41.52] 或新的这个叫做新的突破
[09:41.52 - 09:42.92] 给我们这个大来的一些
[09:42.92 - 09:44.92] 准备就比如说你说你们这个事件
[09:44.92 - 09:48.68] 我们现在其实发生在最早发生在2020年
[09:48.68 - 09:52.72] 然后现在2.0这个他发生在2025年
[09:52.72 - 09:54.68] 2016年这个时间节点
[09:54.68 - 09:56.76] 他有没有一些就别的技术的突破
[09:56.76 - 09:58.52] 要做的是一直都感觉突破
[09:58.52 - 09:59.92] 然后我做这件事情
[09:59.92 - 10:01.76] 其实本身因为这么大的学校
[10:01.76 - 10:02.92] AI的早期应用
[10:02.92 - 10:04.32] 或者最排练的应用之一
[10:04.32 - 10:05.36] 用不这样怎么说
[10:05.36 - 10:07.52] 所以他也不会也一直来为止
[10:07.52 - 10:10.52] 一直是借助AI的很多实际的发展
[10:10.52 - 10:12.48] 不一定能到时在生成能力
[10:12.48 - 10:14.64] 就说如果再早几年会说
[10:14.64 - 10:15.36] 生成业东西
[10:15.36 - 10:16.52] 会觉得很不真实
[10:16.52 - 10:17.52] 但是其实在那个时候
[10:17.52 - 10:19.40] 支持能力有非常大的结果
[10:19.40 - 10:21.32] 就是现在生成变得很真实
[10:21.32 - 10:23.84] 并且评价就是恋力涂这个GRADE
[10:23.84 - 10:25.24] 就是说我们就学习这种
[10:25.24 - 10:27.48] 如何来评价也就是这样的技术
[10:27.48 - 10:30.00] 然后再往后其实到了2.0时段的话
[10:30.00 - 10:32.84] 就是通过基础模型交往工具的方式
[10:32.84 - 10:34.92] 就是AI其实会试一些
[10:34.92 - 10:36.88] 它们1.0本身包括我们在路上
[10:36.88 - 10:38.52] 收集数据法会这些东西
[10:38.52 - 10:40.04] 当成它可以交往工具
[10:40.04 - 10:40.78] 然后它来交往
[10:40.78 - 10:43.76] 就是交往工具应该也是近期AI很大的发展
[10:43.76 - 10:45.28] 这也是帮助我们而家的
[10:45.28 - 10:48.36] 能够更好的更能够挂占的很重要的人
[10:48.36 - 10:49.92] 所以其实就是Liberg现在
[10:49.92 - 10:51.44] GGN有说生成能力
[10:51.44 - 10:52.44] 技术模型
[10:52.44 - 10:54.64] 包括这种AZN的其实神国举的AZN
[10:54.64 - 10:56.36] 这样的一些这样的一些最新的
[10:56.36 - 10:57.76] 技术方向
[10:57.76 - 11:00.00] 其实是一种大的技术突破
[11:00.00 - 11:03.16] 在不同的场景上的那种硬设会作用
[11:03.16 - 11:04.80] 可以说很好的发挥的
[11:04.80 - 11:07.20] 在场景的影响里面
[11:07.20 - 11:09.68] 教训你刚才在讲到这个世界模型的时候
[11:09.68 - 11:12.68] 其实精度是一个比较重要的关键池
[11:12.68 - 11:16.24] 就是我看之前你们在关宣的里面也谈到
[11:16.24 - 11:17.60] 以后可能就是在
[11:17.60 - 11:20.48] 不断地连带这个世界模型的精度
[11:20.48 - 11:22.24] 这个精度它就是
[11:22.24 - 11:23.84] 比如说前显一点它是什么
[11:23.84 - 11:25.08] 它我们作用驾驶这个里面
[11:25.08 - 11:26.20] 它怎么样的点的
[11:26.20 - 11:29.04] 简单说这个精度首先只吃1.0的精度
[11:29.04 - 11:30.24] 1.0精度值得就是它跟
[11:30.24 - 11:32.44] 这种世界之类的相似程度
[11:32.44 - 11:34.60] 它是不是让AZN在里面开始
[11:34.60 - 11:36.68] 觉得虚拟世界跟谁就是一样的
[11:36.68 - 11:37.96] 这种感觉
[11:37.96 - 11:40.60] 比如说里面的刚刚说的这种交互断
[11:40.60 - 11:42.00] 如果你的虚拟世界
[11:42.00 - 11:43.64] 交互都特别的
[11:43.64 - 11:46.72] 其他事都特别的都礼貌
[11:46.72 - 11:47.80] 都会有保守
[11:47.80 - 11:48.84] 那也虚担出来的司机
[11:48.84 - 11:50.64] 肯定是看这肯定是这个
[11:50.64 - 11:53.40] 没有任何对于这种极端情况的处理能力
[11:53.40 - 11:56.36] 因为那虚拟世界就变得大家都非常守规矩
[11:56.36 - 11:57.36] 但是如果你的虚拟世界
[11:57.36 - 11:58.56] 大家都不守规矩
[11:58.56 - 12:00.28] 那你的车就开始太保守了
[12:00.28 - 12:01.08] 其实你就会
[12:01.08 - 12:02.28] 就全都就开不动了
[12:02.28 - 12:04.44] 你会觉得所有车都有可能发生了事件
[12:04.44 - 12:05.84] 就像这样的一些
[12:05.84 - 12:08.04] 就是虚拟跟真实时间的这个
[12:08.04 - 12:10.00] 应该说不准确的地方
[12:10.00 - 12:11.84] 其实我们把整体较多的精度
[12:11.84 - 12:12.88] 简单就是它衡量
[12:12.88 - 12:16.28] 虚拟切认世界这个相似度的一个表示
[12:16.28 - 12:18.24] 而精度直接决定了
[12:18.24 - 12:19.72] 这个就是说
[12:19.72 - 12:21.92] 车道就是这个ASG
[12:21.92 - 12:24.68] 这个总统的能力
[12:24.68 - 12:26.00] 而提升精度
[12:26.00 - 12:29.04] 就前面不是说是靠人来驱动的开发
[12:29.04 - 12:30.48] 之后的话就会靠这个AI
[12:30.48 - 12:32.60] 就是说不得2.0的驱动
[12:32.60 - 12:34.96] 能不能举一个更直接
[12:34.96 - 12:36.48] 或者是个切死的例子
[12:36.48 - 12:39.04] 来帮我们理解我们这个事情
[12:39.04 - 12:40.20] 就比如说我们
[12:40.20 - 12:42.16] 从一庄上到中央村的架式的
[12:42.16 - 12:44.00] 这个过程当中类似的
[12:44.00 - 12:46.68] 据就比如说这个就在现在的室内
[12:46.68 - 12:48.20] 我们说开一万小时
[12:48.24 - 12:50.00] 因为一万这个很长的时间
[12:50.00 - 12:51.12] 原来小时就可能会
[12:51.12 - 12:54.00] 比如说因为有多少次
[12:54.00 - 12:54.80] 因为别的车
[12:54.80 - 12:56.00] 比如加3
[12:56.00 - 12:57.08] 导致的这种
[12:57.08 - 12:58.72] 你的这种应该说
[12:58.72 - 13:00.12] 几减速或者造成一些
[13:00.12 - 13:02.56] 可能危险的一些性价值定位
[13:02.56 - 13:03.72] 就比如说距离才进了
[13:03.72 - 13:05.12] 或者趁这个碰到风险
[13:05.12 - 13:08.16] 我们就有这样一个频率来说
[13:08.16 - 13:10.12] 只有一万小时一定会发生几次
[13:10.12 - 13:12.76] 因为这个路上所有人都还得动着
[13:12.76 - 13:15.08] 那么这个其实就涉及到
[13:15.08 - 13:18.08] 比如说你真正在训练的时候
[13:18.08 - 13:20.00] 那加3是比如说
[13:20.00 - 13:22.12] 它是一个什么样的姿势
[13:22.12 - 13:24.40] 比如说它有可能就是硬要讲
[13:24.40 - 13:25.64] 有可能它会先
[13:25.64 - 13:27.04] 总是有些信号
[13:27.04 - 13:28.84] 导致到近来就要突然近来
[13:28.84 - 13:30.12] 近来之后它有不同的性格
[13:30.12 - 13:32.20] 比如有的是就不管就跟上来
[13:32.20 - 13:33.96] 有的是可能还会杀脚车解锁
[13:33.96 - 13:35.00] 有些这样的性格
[13:35.00 - 13:36.44] 那我的车究竟应该在什么
[13:36.44 - 13:38.56] 证据实验点来判断训统加采
[13:38.56 - 13:39.24] 来做这个节目
[13:39.24 - 13:41.08] 来做这个应对
[13:41.08 - 13:44.32] 这过程就是如果你能够更精确的还原
[13:44.32 - 13:46.40] 这一万小时都可能发生各种情况
[13:46.40 - 13:49.08] 的频率的概率
[13:49.08 - 13:51.20] 那么你切就能做更好的应对
[13:51.20 - 13:52.92] 结果就是说比如拿新的
[13:52.92 - 13:53.72] 更精确的事情
[13:53.72 - 13:55.12] 我应该训练出来的车的话
[13:55.12 - 13:56.72] 它这一万小时中
[13:56.72 - 13:58.08] 需要因为被加3
[13:58.08 - 14:00.68] 转做做的这种操作会
[14:00.68 - 14:02.52] 就或这种急杀会变得多少
[14:02.52 - 14:04.28] 就它在这个学习的过程当中
[14:04.28 - 14:06.40] 在你们在这个2.0的这个世界
[14:06.40 - 14:07.60] 目前2.0的这个里面
[14:07.60 - 14:08.68] 它就会有一个
[14:08.68 - 14:11.12] 自我的这个定向化的一个准断
[14:11.12 - 14:12.96] 和定向化的一个进化是这样的
[14:12.96 - 14:14.56] 然后就拿这个例子再去
[14:14.56 - 14:15.56] 像一个就是
[14:15.56 - 14:17.36] 就是比如说这个
[14:17.36 - 14:18.36] 我为了改进这个
[14:18.36 - 14:19.76] 我收集个10万小时
[14:19.76 - 14:21.36] 所有这样的应对
[14:21.36 - 14:23.36] 我如果找人看的话
[14:23.36 - 14:24.04] 人他可能说
[14:24.04 - 14:24.68] 不能不知道
[14:24.68 - 14:26.68] 原来就对不对
[14:26.68 - 14:27.36] 因为有可能他
[14:27.36 - 14:28.56] 真到技能就得体现上
[14:28.56 - 14:30.16] 是对的
[14:30.16 - 14:31.20] 但是这就是人他
[14:31.20 - 14:33.04] 因为我家是没有这个视频
[14:33.04 - 14:34.44] 我看不出来
[14:34.44 - 14:35.44] 我不能看得出来
[14:35.44 - 14:36.60] 以后他进来了
[14:36.60 - 14:37.40] 我得从当时形容
[14:37.40 - 14:38.20] 我怕不能出来
[14:38.20 - 14:39.40] 所以这时候我很难跳
[14:39.40 - 14:41.80] 说究竟这个虚拟事业中
[14:41.80 - 14:43.72] 别人开的是太多忙了
[14:43.72 - 14:44.96] 他有时候太饱了
[14:44.96 - 14:46.20] 或者说我自身是不对的
[14:46.20 - 14:48.20] 我很难跳这个不同
[14:48.20 - 14:49.52] 或者因为世界这样太多
[14:49.52 - 14:50.52] 我没多太多了
[14:50.52 - 14:51.28] 我自身来说
[14:51.28 - 14:52.08] 因为不行
[14:52.08 - 14:52.60] 但这时候
[14:52.60 - 14:53.12] 我应该来说
[14:53.12 - 14:56.12] 他反而能多些事情
[14:56.12 - 14:57.24] 之前在那个
[14:57.24 - 14:59.52] 就比如说各种具体的指标里面
[14:59.52 - 15:00.60] 就我知道你们
[15:00.60 - 15:02.24] 那个一直以来都是以安全
[15:02.24 - 15:03.44] 也数是以效率
[15:03.44 - 15:05.08] 类似这些大的指标
[15:05.08 - 15:06.40] 来实现这个
[15:06.40 - 15:07.36] 就他的这个
[15:07.36 - 15:09.76] 目标安全数是更有利质
[15:09.76 - 15:10.24] 是的
[15:10.24 - 15:12.84] 然后以前可能是人去
