[00:00.00 - 00:02.00] 你以為芯片恰伯則是光可機
[05:35.80 - 05:38.20] 我們就多一份自主可控的抵棄
[05:38.20 - 05:41.50] 現在全球半導體產業正在經歷百年未有之大變局
[05:41.50 - 05:44.50] 國產替代已經從可選項變成了幣選項
[05:44.60 - 05:47.30] 這些在西分賽道裡擁有唯一性的龍頭企業
[05:47.30 - 05:49.50] 就是未來十年最確定的機會
[05:49.50 - 05:50.80] 最後正重提醒
[05:50.80 - 05:52.30] 以上內容警衛行業分析
[05:52.30 - 05:54.10] 不構成任何投資建議
[05:54.10 - 05:55.00] 投資有風險
[05:55.00 - 05:56.00] 入市需謹慎
