[00:00.00 - 00:02.72] 科技股回条什么时候结束
[01:29.88 - 01:32.64] 短期跌得最多的就选国产算力
[01:32.64 - 01:34.08] 极跌必有修复
[01:34.08 - 01:36.12] 再选另外一个跌得最少的
[01:36.12 - 01:37.32] 就是海外算力
[01:37.32 - 01:39.12] 那么焯跌反弹你做完之后
[01:39.12 - 01:40.52] 记得快进快除
[01:40.52 - 01:41.44] 昨天中午直播
[01:41.44 - 01:43.72] 我也提示了短期运行焯跌反弹
[01:43.72 - 01:47.16] 但是为什么我认为真正值得你重层的时间点
[01:47.16 - 01:49.12] 要到6月中旬之后
[01:49.12 - 01:51.80] 除了我之前说的那头上三马剑
[01:51.80 - 01:53.44] 没连除落实会议
[01:53.44 - 01:56.20] 世界被科技巨头上市
[01:56.20 - 01:58.36] 我们今天不了这个
[01:58.36 - 02:00.60] 从盘口信号来分析
[02:00.60 - 02:02.64] 第一个我们用焯跌量来看
[02:02.64 - 02:05.40] 不是简单的上涨风量下跌锁量就结束了
[02:05.40 - 02:06.72] 上涨周期里
[02:06.72 - 02:09.52] 和下跌周期它是一个时间段
[02:09.52 - 02:10.72] 它不是某一天
[02:10.72 - 02:13.00] 那么焯跌量从每一冲突
[02:13.00 - 02:14.12] 2.5万亿
[02:14.12 - 02:16.20] 涨到5月14号
[02:16.20 - 02:17.28] 3.5万亿
[02:17.28 - 02:18.76] 这是一个上涨周期
[02:18.76 - 02:20.40] 也叫涨朝周期
[02:20.40 - 02:22.00] 现在从3.5万亿
[02:22.00 - 02:23.40] 锁到2.9万亿
[02:23.40 - 02:24.88] 它是一个退朝周期
[02:24.88 - 02:27.04] 2.9万亿它不是地量
[02:27.04 - 02:28.84] 过去极轮的退朝周期
[02:28.84 - 02:29.88] 要从高风
[02:29.88 - 02:32.56] 锁量25%到34%之间
[02:32.56 - 02:33.88] 现在还是不够的
[02:33.88 - 02:34.92] 那么第二个
[02:34.92 - 02:37.16] 这次从5月14号以来的调整
[02:37.16 - 02:39.64] 上涨是先于双创建高点
[02:39.64 - 02:40.80] 也是先调等的
[02:40.80 - 02:42.04] 从记录分析里
[02:42.04 - 02:43.68] 标准的关于趋势
[02:43.68 - 02:44.32] 结构
[02:44.32 - 02:45.52] 序列的分析
[02:45.52 - 02:47.28] 双创锁量反弹之后
[02:47.28 - 02:48.84] 还有一个补跌预期
[02:48.84 - 02:50.08] 所以我的结论
[02:50.08 - 02:51.72] 短期焯跌反弹
[02:51.72 - 02:54.32] 重点选跌得最多的国产算力
[02:54.32 - 02:56.76] 和最抗跌的海外算力
[02:56.76 - 02:57.96] 快进快处
[02:57.96 - 02:59.52] 真正重仓节点
[02:59.52 - 03:01.04] 依然是6月下旬
[03:01.04 - 03:02.80] 那么接下来要说6月下旬
[03:02.80 - 03:04.96] 你也彼此加层的方向
[03:04.96 - 03:06.88] 不是简单预约科技就可以盖库
[03:06.88 - 03:09.72] 因为6月下旬有一个最重要的事情
[03:09.72 - 03:11.32] 6月30号的结束
[03:11.32 - 03:13.24] 就意味着半年报要开始了
[03:13.24 - 03:15.64] 那些业绩增速在50%以上的
[03:15.64 - 03:18.20] 要在7月1号和7月15号之间
[03:18.20 - 03:19.48] 发业绩预告
[03:19.48 - 03:22.52] 也就是市场会提前炒半年报业语
[03:22.52 - 03:23.76] A股的基因经理
[03:23.88 - 03:25.08] 永远玩这东西
[03:25.08 - 03:26.36] 所以你的倡位
[03:26.36 - 03:28.36] 要向有业绩的方向投进
[03:28.36 - 03:30.76] 那么业绩一般的方向你就要回避
[03:30.76 - 03:32.32] 需要考验一下你的看
[03:32.32 - 03:33.36] 才有报表的能力
[03:33.36 - 03:34.76] 那么今年的半年报
[03:34.76 - 03:36.68] 可以确定业绩比较好的
[03:36.68 - 03:38.64] 依然是一个是海外算力
[03:38.64 - 03:40.28] 也就是锅谋块PCB
[03:40.28 - 03:43.20] 尤其是PCB的上游和锅谋块的上游
[03:43.20 - 03:44.52] 比如锅鲜
[03:44.52 - 03:45.64] CCR
[03:45.64 - 03:47.40] PCB上游设备
[03:47.40 - 03:48.72] 锅鲜片等等
[03:48.72 - 03:50.24] 包括那些锅谋块龙头
[03:50.24 - 03:53.60] 这些板块业绩增速最少都有50%
[03:53.60 - 03:55.56] 那么另外一个就是国产算力
[03:55.56 - 03:56.80] 主要是存储
[03:56.80 - 03:58.72] 芯片半脑体设备跟材料
[03:58.72 - 03:59.92] 包括先进锅谋
[03:59.92 - 04:01.72] 超节点也是一个责量
[04:01.72 - 04:03.92] 存储的景气度自然不用多说
[04:03.92 - 04:05.60] 三星还一是天天找我
[04:05.60 - 04:06.84] AI推理时代
[04:06.84 - 04:08.80] 物理AI时代存储就是王
[04:08.80 - 04:09.60] 毫无疑问
[04:09.60 - 04:11.20] 芯片半脑体全产业练
[04:11.20 - 04:13.80] 三基度也会随着华为生疼芯片
[04:13.80 - 04:14.88] 放量而放量
[04:14.88 - 04:17.80] 四五月份有一些设备公司
[04:17.80 - 04:19.48] 已经上条了业绩之一
[04:19.48 - 04:22.60] 也就是二基度已经证明了景气度正在加速
[04:22.60 - 04:23.96] 三基度更会加速
[04:23.96 - 04:25.92] 所以海外算力和国产算力
[04:25.92 - 04:27.28] 是六月下旬
[04:27.28 - 04:29.60] 你也比子加倉最强的两个方向
[04:29.60 - 04:30.56] 而理电池
[04:30.56 - 04:33.00] 我认为算是一个业绩增速比较快
[04:33.00 - 04:34.80] 定单能见度也比较高
[04:34.80 - 04:36.68] 估值还比较便宜的一个板块
[04:36.68 - 04:39.80] 但这个板块要等大资金进场信号
[04:39.80 - 04:41.32] 否则要熬
[04:41.32 - 04:44.84] 而有色化工也算是半年报业绩不错的方向
[04:44.84 - 04:47.56] 但是这两个方向不是机构的首选
[04:47.56 - 04:48.88] 科技肯定是首选
[04:48.88 - 04:51.28] 而且油价上涨是利空化工的
[04:51.28 - 04:54.00] 这个还要观察六月下旬之后的油价走势
[04:54.00 - 04:56.48] 而有色要重点看六月十六号
[04:56.48 - 04:58.44] 诡实是否发表硬盘言论
[04:58.44 - 05:00.12] 才能下进一步的结论
