[00:00.00 - 00:03.00] 这两周估计大家都可以已经分化了 是吧
[00:03.00 - 00:04.30] 价值投机的很爽
[03:06.80 - 03:09.10] 还是带有转型任务的试度换送
[03:09.10 - 03:10.90] 所以你不再种高景气度行业
[03:10.90 - 03:12.10] 但是想吃到红利
[03:12.10 - 03:15.30] 一定一定要需要花时间去研究产业和行业景气度
[03:15.30 - 03:19.00] 那或者说把你价值投机中的价值格局放大
[03:19.00 - 03:21.60] 那在一个再通脏会不会变值
[03:21.60 - 03:23.50] 不会前面我们讲过了对吧
[03:23.50 - 03:25.30] 我们的汇率跟那个没办法先关系
[03:25.30 - 03:28.50] 这种问题就跟当年说我们这个汇率破八一样
[03:28.50 - 03:30.30] 那今年你看到所谓的升值
[03:30.30 - 03:31.30] 只是对美元升
[03:31.30 - 03:33.70] 那取之于我们的出口争设的调整
[03:33.70 - 03:34.50] 我不跟你玩了
[03:34.50 - 03:35.50] 所以我对你升值
[03:35.50 - 03:37.30] 其实从央行的一蓝的货币来看
[03:37.30 - 03:39.20] 我们还是在维持维持的稳定
[03:39.20 - 03:40.50] 毕竟你所谓的三辆马车
[03:40.50 - 03:42.10] 没有出口就没有那两个
[03:42.10 - 03:44.50] 那听不懂的去前面的看一下
[03:44.50 - 03:44.70] 好
[03:44.70 - 03:46.40] 我们再跟大家去聊一下产业
[03:46.40 - 03:49.40] 大家要先指导卖方去培养一个研究人员的方式
[03:49.40 - 03:51.80] 不是所有的信息都能去花钱买到的
[03:51.80 - 03:53.50] 一定是要有独特的视角
[03:53.50 - 03:56.00] 比如最近比较出名的子苏业理论
[03:56.00 - 03:58.00] 其实就很像产业研究的方式
[03:58.00 - 03:59.40] 一套料理的成立
[03:59.40 - 04:01.60] 不是金枪鱼 海膽 鱼子枪
[04:01.60 - 04:04.40] 而是那个去星提供等用处的子苏业
[04:04.40 - 04:06.20] 没有金枪鱼只是少一刀菜
[04:06.20 - 04:07.40] 但是没有子苏业
[04:07.40 - 04:08.80] 整个料理都端不上来
[04:08.80 - 04:10.30] 这就是子苏业理论
[04:10.30 - 04:12.00] 而卖方需要凸显它的价值
[04:12.00 - 04:13.20] 注定不能只看主菜
[04:13.30 - 04:16.00] 比如AI 小白看AI第一想到大模型
[04:16.00 - 04:18.00] 深入是GPU 在深入是HBM
[04:18.00 - 04:19.20] 属于中心夜冷等等
[04:19.20 - 04:20.70] 比如说热度高的CPU
[04:20.70 - 04:23.10] 采讣是光线v2进激光器秤底
[04:23.10 - 04:24.80] 再细分才是淋化音秤底
[04:24.80 - 04:26.00] 是SOI秤底
[04:26.00 - 04:28.30] 卖方需要看的是面对落地中的问题
[04:28.30 - 04:30.10] 比如这东西是否必须存在
[04:30.10 - 04:32.00] 一年内有没有可替代方案
[04:32.00 - 04:33.00] 如果开始方量
[04:33.00 - 04:34.40] 哪里是产能独点
[04:34.40 - 04:36.60] 去找到不可替代性同时
[04:36.60 - 04:38.60] 没被市场计价的给到机构
[04:38.60 - 04:40.00] 剩下的就是盘手干活了
[04:40.00 - 04:40.50] 对吧
[04:40.50 - 04:42.40] 我们拿淋化音秤底举例
[04:42.50 - 04:45.70] 如果未来即将高度依赖于高速光通性
[04:45.70 - 04:47.30] 那么这种材料就是此作业
[04:47.30 - 04:48.90] 小但是必要
[04:48.90 - 04:50.70] 而且做秤底的公司少
[04:50.70 - 04:52.10] 产能不是说扩就扩
[04:52.10 - 04:53.40] 两律不是说到就到
[04:53.40 - 04:54.90] 认证不是说过就过
[04:54.90 - 04:56.30] 大家天天玩的这个
[04:56.30 - 04:57.40] 它是有录性的
[04:57.40 - 04:58.60] 从GPU到光互联
[04:58.60 - 04:59.20] 到光通性
[04:59.20 - 05:00.60] 到CPU到激光器秤底
[05:00.60 - 05:01.60] 采料到风装
[05:01.60 - 05:03.00] 从技术路线到供应商
[05:03.00 - 05:03.60] 到产能
[05:03.60 - 05:04.10] 到收入
[05:04.10 - 05:04.60] 到珠器
[05:04.60 - 05:05.60] 到给PE
[05:05.60 - 05:06.90] 在我们这个市场
[05:06.90 - 05:08.90] 小代表流动性差冷闻代表
[05:08.90 - 05:10.10] 重码干净
[05:10.10 - 05:11.90] 不可缺少一位者空间足够
[05:11.90 - 05:13.20] 这种信息才是卖方向
[05:13.20 - 05:14.40] 给到机构去做的
[05:14.40 - 05:16.30] 所以大家去自己研究的时候
[05:16.30 - 05:17.90] 无视去看什么东西最热
[05:17.90 - 05:19.40] 而是什么最不可或缺
[05:19.40 - 05:20.90] 这叫你认知的变现
[05:20.90 - 05:22.20] 它躺上我没那个认知
[05:22.20 - 05:23.10] 所以我还是买吧
[05:23.10 - 05:23.60] 是吧
[05:23.60 - 05:24.90] 咱不是干那个活的
[05:24.90 - 05:26.80] 再一个讲几个卖方信息
[05:26.80 - 05:28.50] 时间反正就是这两周内的
[05:28.50 - 05:30.10] 第一个就是金刚是沉热
[05:30.10 - 05:31.00] 又来了
[05:31.00 - 05:32.70] 一个是华为的套顶率落地
[05:32.70 - 05:33.90] 平静是三热
[05:33.90 - 05:35.80] 传统的同时默VCE军热版
[05:35.80 - 05:36.50] 全部是票
[05:36.50 - 05:37.60] CVD金刚是沉热
[05:37.60 - 05:38.90] 是唯一可执行的方案
[05:38.90 - 05:39.80] 二十共争了
[05:39.80 - 05:41.80] 因为达了如并加购GPU
[05:41.80 - 05:42.80] 采用金刚时
[05:42.80 - 05:44.80] 同复核三热加异冷的方案是吧
[05:44.80 - 05:45.80] 在一个国内的
[05:45.80 - 05:46.70] 争州潮算中心
[05:46.70 - 05:48.00] 首次规模化应用
[05:48.00 - 05:50.20] 重点是看上游的材料公司
[05:50.20 - 05:50.80] 那第二个
[05:50.80 - 05:52.60] SST就是古才变亚系
[05:52.60 - 05:53.90] 目前小平达交付
[05:53.90 - 05:55.50] 预计交付风执在三四基督
[05:55.50 - 05:57.00] 交付周系6到12个月
[05:57.00 - 05:59.00] 交付后还有三个月的真正周系
[05:59.00 - 06:00.30] 认证通过之后
[06:00.30 - 06:01.60] 就可以拿到十一的订单
[06:01.60 - 06:02.80] 这是它目前的节奏
[06:02.80 - 06:03.80] 未来动的时候
[06:03.80 - 06:05.00] 可以去根据这个节奏
[06:05.00 - 06:05.50] 看一下
[06:05.50 - 06:06.20] 第三个
[06:06.20 - 06:07.60] 剧似乎以系材料背板
[06:07.60 - 06:08.80] 进入小平达测试
[06:08.80 - 06:10.00] 这个行业技术产能
[06:10.00 - 06:11.80] 门槛升级的逻辑还是比较顺的
[06:11.80 - 06:12.80] 算是PCV里面
[06:12.80 - 06:14.40] 值得你去长期去跟踪的
[06:14.40 - 06:15.60] 还有一个就是
[06:15.60 - 06:16.80] 黄耀斯风材料
[06:16.80 - 06:18.00] 这个就不能再讲多了
[06:18.00 - 06:19.00] 这个东西名牌的
[06:19.00 - 06:19.80] 而且很硬
[06:19.80 - 06:21.60] 但是这几个已经算是
[06:21.60 - 06:22.36] 我给大家去
[06:22.36 - 06:23.60] 优中选一个挑的
[06:23.60 - 06:24.60] 但是质量还是不如
[06:24.60 - 06:25.40] 之前跟大家去讲
[06:25.40 - 06:26.60] 这个心境制程扩产的好
[06:26.60 - 06:27.60] 很简单的逻辑
[06:27.60 - 06:28.80] 扩产就要拔财
[06:28.80 - 06:29.60] 生产好之后
[06:29.60 - 06:31.00] 就需要检测设备
[06:31.00 - 06:32.60] 检测方法提了两率
[06:32.60 - 06:33.60] 包括其他的同步
[06:37.60 - 06:38.60] 都不错的
[06:38.60 - 06:39.60] 当然我还是比较喜欢
[06:39.60 - 06:40.40] 心境制程
[06:40.40 - 06:41.40] 就是短期太热了
[06:41.40 - 06:42.60] 还是跟上次一样是吧
[06:42.60 - 06:43.60] 让他两一两
[06:43.60 - 06:45.00] 大家再去好好研究一下
[06:45.00 - 06:46.40] 关心泡沫的
[06:46.40 - 06:47.00] 怎么说呢
[06:47.00 - 06:47.60] 大家的财富
[06:47.60 - 06:49.00] 都是在泡沫里面赚的
[06:49.00 - 06:49.80] 没泡沫
[06:49.80 - 06:50.60] 你像前几年
[06:50.60 - 06:51.40] 他好收吗
[06:51.40 - 06:52.00] 对吧
[06:52.00 - 06:53.60] 然后关于上次跟他去讲的
[06:53.60 - 06:55.00] 五月中前后一定防守
[06:55.00 - 06:55.60] 是吧
[06:55.60 - 06:56.80] 你要说结构性机会
[06:56.80 - 06:57.40] 你能保护
[06:57.40 - 06:58.20] 你就当我没说
[06:58.20 - 07:00.00] 但是从五月中到六月底
[07:00.00 - 07:00.60] 我认为市场
[07:00.60 - 07:01.80] 不用信都是收紧的
[07:01.80 - 07:02.80] 从老大认为
[07:02.80 - 07:03.20] 快了
[07:03.20 - 07:04.20] 到你回够收紧
[07:04.20 - 07:05.80] 到六月大的融资计划
[07:05.80 - 07:06.80] 不论内外
[07:06.80 - 07:08.60] 再到卧室的第一次一期
[07:08.60 - 07:09.40] 包括前段时间
[07:09.40 - 07:10.20] 这个十年
[07:10.20 - 07:11.40] 三十年新美战收益率
[07:11.40 - 07:12.40] 同步走高是吧
[07:12.40 - 07:13.60] 那就不正常
[07:13.60 - 07:14.20] 市场一无怕
[07:14.20 - 07:15.80] 卧室的言论和货币政策
[07:15.80 - 07:16.40] 又不相信
[07:16.40 - 07:17.60] 通常能回到百分之二
[07:17.60 - 07:18.60] 就是那个表现
[07:18.60 - 07:19.60] 不论哪个
[07:19.60 - 07:20.40] 对于我们来说
[07:20.40 - 07:22.00] 都是不好管理回撤的
[07:22.00 - 07:23.60] 大家两业而行
[07:23.60 - 07:24.40] 然后像现在的
[07:24.40 - 07:25.80] 种撕裂出血的市场
[07:25.80 - 07:26.80] 就两次见过
[07:26.80 - 07:27.60] 一次是一三年
[07:27.60 - 07:29.60] 14年天不气和创业的狂标
[07:29.60 - 07:30.60] 后来14年底
[07:30.60 - 07:32.60] 这个国旧条彻底都不住了
[07:34.40 - 07:35.60] 在一次21年
[07:35.60 - 07:36.40] 20年之后
[07:36.40 - 07:37.20] 报团瓦解
[07:37.20 - 07:38.00] 然后开始轮动
[07:38.00 - 07:39.00] 那就纯透机了
[07:39.00 - 07:40.20] 那对于目前的市场
[07:40.20 - 07:42.40] 我偏向于延长版的第一次
[07:42.40 - 07:44.20] 毕竟现在高着的都属于
[07:44.20 - 07:44.80] 国内机构
[07:44.80 - 07:46.20] 最喜欢的预期投资
[07:46.20 - 07:47.20] 好处就是结束前
[07:47.20 - 07:48.80] 你能清晰的感受到
[07:48.80 - 07:49.40] 那最后
[07:49.40 - 07:50.20] 希望大家好处
[07:50.20 - 07:51.60] 珍惜这一轮的机会
[07:51.60 - 07:53.40] 至少到二七年的中下
[07:53.40 - 07:55.00] 完成你的原始机内
[07:55.00 - 07:56.40] 然后就不要再回来了
[07:56.40 - 07:57.20] 后面有时间
[07:57.20 - 07:58.40] 我们去脱离二级
[07:58.40 - 07:59.40] 也跟大家去聊一聊
[07:59.40 - 08:00.60] 我对投资和资产
[08:00.60 - 08:01.40] 配置的理解
[08:01.40 - 08:02.80] 二级只是工作
[08:02.80 - 08:05.40] 其实投资也是生活
[08:05.40 - 08:06.40] 等应
