[00:00.05 - 00:03.73] 高盛刚刚发了一份最新的研究报告
[01:48.73 - 01:51.45] 一种叫做内存接口芯片的东西
[01:51.45 - 01:53.97] 会爆发出这么敬人的商业价值
[01:53.97 - 01:56.69] 这个切入的时机其实非常关键
[01:56.69 - 02:00.49] 你看当我们平时谈论AI记住监视设施的时候
[02:00.49 - 02:02.61] 市场往往存在一种类似
[02:02.61 - 02:04.53] 幸存者偏差的心里
[02:04.53 - 02:05.25] 怎么讲
[02:05.25 - 02:07.13] 就是说所有的巨光灯
[02:07.13 - 02:10.69] 大家的注意力全都打在那个算力芯片上了
[02:10.69 - 02:10.93] 对吧
[02:10.93 - 02:13.37] 大家都定着英美达或者AMD
[02:13.37 - 02:15.57] 但高盛的这份洞查在于
[02:15.57 - 02:18.57] 他们非常敏锐的捕捉到了一种失衡
[02:18.57 - 02:19.89] 底层结构上的失衡
[02:19.89 - 02:20.53] 没错
[02:20.53 - 02:22.25] 就是由于底层结构失衡
[02:22.25 - 02:25.97] 所引发的极其庞大的周边硬件需求缺口
[02:25.97 - 02:28.57] 而导致这种失衡的最直接原因
[02:28.57 - 02:30.21] 就是你刚才提到的那个
[02:30.21 - 02:32.05] 代理型AI的大规模采用
[02:32.05 - 02:33.21] 确实
[02:33.21 - 02:34.65] 代理型AI这东西
[02:34.65 - 02:37.29] 感觉彻底改变了游戏规则
[02:37.29 - 02:38.13] 你想
[02:38.13 - 02:40.37] 以前我们把AI当成什么
[02:40.37 - 02:43.37] 当成一个超级聪明的危机摆科
[02:43.37 - 02:44.73] 你敲个问题进去
[02:44.73 - 02:47.37] 它就给你吐个答案出来
[02:47.37 - 02:49.49] 一问一答非常现性
[02:49.49 - 02:50.17] 对
[02:50.17 - 02:52.57] 但现在的代理型AI不一样了
[02:52.57 - 02:56.25] 它更像是一个高度自主化的控制中心
[02:56.25 - 02:59.01] 它不仅要自己去拆解复杂的任务
[02:59.01 - 03:01.41] 还得调用各种外部的API
[03:01.41 - 03:04.25] 甚至自己去减锁内部数据库
[03:04.25 - 03:05.25] 发现错了
[03:05.25 - 03:06.77] 还得自己糾正
[03:06.77 - 03:10.21] 这不仅是增加了计算量那么简单
[03:10.21 - 03:11.01] 对
[03:11.01 - 03:12.93] 它从根本上改变了数据
[03:12.93 - 03:15.29] 在那个CPU内部的流动方式
[03:15.29 - 03:16.29] 没错
[03:16.29 - 03:17.61] 更精确的说
[03:17.61 - 03:20.65] 它极大的改变了CPU的工作复杂
[03:20.65 - 03:21.85] 特征
[03:21.85 - 03:24.37] 高盛在报告里就明确指出
[03:24.37 - 03:27.21] 代理型AI其实迫使CPU
[03:27.21 - 03:30.37] 承担了前所未有的推理工作复杂
[03:30.37 - 03:33.85] 就是那些以前不怎么需要CPU干的众伙
[03:33.85 - 03:34.89] 是的
[03:34.89 - 03:38.37] 这里面包含了非常复杂的任务边盘
[03:38.37 - 03:40.45] 也就是英文说的Occustration
[03:40.45 - 03:43.29] 还有那种高强度的内存管理
[03:43.29 - 03:47.25] 现在的CPU不再是简单的把一大块数据
[03:47.25 - 03:50.37] 直接扔给GPU去暴力计算就完事了
[03:50.37 - 03:51.53] 那它现在得干吗
[03:51.53 - 03:53.77] 它现在必须在海亮的
[03:53.77 - 03:56.53] 非常碎片化的上下文片段里
[03:56.53 - 03:57.81] 来回穿索
[03:57.81 - 04:00.05] 不停的调取和分派数据
[04:00.85 - 04:03.17] 我在脑海里购件了这么一个场景
[04:03.17 - 04:04.17] 你看对不对
[04:04.17 - 04:06.73] 咱们如果把传统的AI推理
[04:06.73 - 04:08.41] 比做一家快餐店
[04:08.41 - 04:10.73] 那CPU其实就是一个收音员
[04:10.73 - 04:12.01] 顾客点个汗宝
[04:12.01 - 04:14.45] 收音员转身去拿一个汗宝
[04:14.45 - 04:16.69] 路径非常单一也很明确
[04:16.69 - 04:18.93] 这个比喻很直观
[04:18.93 - 04:20.89] 但现在的代理型AI
[04:20.89 - 04:24.57] 它更像是一个顶级米七零餐厅的后处
[04:24.57 - 04:25.89] 在这个后处里
[04:25.89 - 04:29.93] CPU就是那个站在最中间指挥的行政总处
[04:29.93 - 04:31.89] 行政总处这个有意思
[04:31.89 - 04:32.37] 对啊
[04:32.37 - 04:33.01] 你上
[04:33.01 - 04:35.25] 这个总处它不能只顾着炒菜
[04:35.25 - 04:37.41] 它不仅要丁着炉子上的火候
[04:37.41 - 04:39.81] 还得不停地去堂冷酷拿点香料
[04:39.81 - 04:42.97] 在跑去处藏室取一个特定的盘子
[04:42.97 - 04:45.77] 同时它手底下还有五个副主厨
[04:45.77 - 04:48.17] 随时可能有突发请求找它
[04:48.17 - 04:50.45] 就是并发任务极其庞大
[04:50.45 - 04:51.01] 对
[04:51.01 - 04:52.57] 现在的核心问题是
[04:52.57 - 04:55.49] 这个总处本身的反应速度还是极快的
[04:55.49 - 04:56.85] 脑子非常清楚
[04:56.85 - 04:59.01] 但它跑去冷酷和处藏室
[04:59.01 - 05:00.49] 也就是去那个CPU内是
[05:00.49 - 05:02.41] memory里掉数据的那个过道
[05:02.41 - 05:03.37] 太窄了
[05:03.37 - 05:05.37] 不仅窄可能还挤满了人
[05:05.37 - 05:06.09] 没错
[05:06.09 - 05:07.61] 它被堵死在路上了
[05:07.61 - 05:10.13] 所以这就是蓝起科技切入的地方
[05:10.13 - 05:10.69] 对吗
[05:10.69 - 05:13.45] 他们就是来脱宽这条后处通道的
[05:13.45 - 05:15.25] 完全正确
[05:15.25 - 05:17.17] 你这个后处通道的类比
[05:17.17 - 05:19.93] 触及了问题的核心机制
[05:19.93 - 05:25.45] 当CPU在进行这种高屏的碎片化的数据拉曲时
[05:25.45 - 05:28.77] 它跟内存条之间的那条物理通道贷款
[05:28.77 - 05:30.41] 也就是你说的过道
[05:30.41 - 05:32.97] 其实已经打到了物理极限
[05:32.97 - 05:34.33] 也就是走不动了
[05:34.33 - 05:38.89] 对每一次总除去拿香料的微小延迟
[05:38.89 - 05:40.01] 累加起来
[05:40.01 - 05:43.97] 都会让整个后处的运转效率大大折扣
[05:43.97 - 05:46.45] 这就解释了为什么高胜预测
[05:46.45 - 05:51.37] 仅仅是用来脱宽这条传统通道的一款基础芯片
[05:51.37 - 05:52.29] 而CD
[05:52.29 - 05:54.85] 也就是计存时钟驱动器
[05:54.85 - 05:57.21] 在2025年到2032元间
[05:57.21 - 06:00.41] 依然能维持8%的复合年增长率
[06:00.41 - 06:01.41] 8%
[06:01.41 - 06:03.21] 在一个传统硬件领域
[06:03.21 - 06:04.89] 其实已经算很稳健了
[06:04.89 - 06:05.65] 是的
[06:05.65 - 06:08.93] 但这仅仅是维持线上的基本盘
[06:08.93 - 06:09.85] 你要知道
[06:09.85 - 06:14.49] 真正让市场让华尔街重新给这家公司定价的
[06:14.49 - 06:18.33] 是他们为了应对未来更夸张的贷款需求
[06:18.33 - 06:22.01] 推出的一种全新的技术架构
[06:22.01 - 06:23.41] 这就要说到这份报告里
[06:23.41 - 06:24.85] 我觉得最硬核
[06:24.85 - 06:27.29] 但也最让人觉得不可思议的一部分了
[06:27.29 - 06:30.25] 就是为了突破刚才说的这个物理极限
[06:30.25 - 06:32.37] 行业里现在推出了一种叫
[06:32.37 - 06:34.81] MR-DEM的行形内存技术
[06:34.81 - 06:38.05] 也就是多路复用双列直插内存模组
[06:38.05 - 06:38.41] 对
[06:38.41 - 06:39.77] 名字特别长
[06:39.77 - 06:40.81] 我看报告里的那个
[06:40.81 - 06:43.89] Xibic8图表还有后面的词汇表的时候
[06:43.89 - 06:45.45] 我整个人都惊了
[06:45.45 - 06:48.49] 就是一根DDR5的MR-DEM内存条
[06:48.49 - 06:50.57] 简直是被武装到了牙齿
[06:50.57 - 06:52.41] 里面塞了很多东西是吧
[06:52.41 - 06:53.69] 何止是多呀
[06:53.69 - 06:56.09] 除了那些最基础的内存锤
[06:56.09 - 06:59.41] 它最远还要额摆挂上一颗叫SPD的芯片
[06:59.41 - 07:01.53] 来做串形存在检测
[07:01.53 - 07:02.89] 两颗温度善色
[07:02.89 - 07:04.09] 也就是TS
[07:04.09 - 07:05.93] 还有一颗电源管理IC
[07:05.93 - 07:07.45] 也就是PMIC
[07:07.45 - 07:08.29] 这还没完呢
[07:08.29 - 07:08.61] 对
[07:08.61 - 07:10.65] 还有负责数据的主控部分
[07:10.65 - 07:11.25] 是啊
[07:11.25 - 07:13.53] 还要外加一颗MR-C地主控
[07:13.53 - 07:15.89] 以及高达10颗的MDG
[07:15.89 - 07:18.97] 也就是多路复用数据缓冲器
[07:18.97 - 07:19.81] 说实话
[07:19.81 - 07:21.01] 在我的认知里
[07:21.01 - 07:22.85] 我一直以为内存条吗
[07:22.85 - 07:25.01] 不就是一块绿色的苏劳电路板上
[07:25.01 - 07:27.41] 捍着几个黑色的就储存块就行了吗
[07:27.41 - 07:28.89] 以前确实是那样的
[07:28.89 - 07:30.61] 那为什么我们现在突然需要
[07:30.61 - 07:32.93] 在这么小的一扒张大的面积上
[07:32.93 - 07:36.25] 硬声声堆疊这么庞砸的一整套控制系统
[07:36.25 - 07:37.93] 这听起来有点匪夷所思
[07:37.93 - 07:41.73] 因为我们现在其实是在挑战物理学定律了
[07:41.73 - 07:42.73] 挑战物理定律
[07:42.73 - 07:43.45] 对
[07:43.45 - 07:46.97] 你想当DDR5内存的数据传输数据
[07:46.97 - 07:50.21] 标升到现在这种急制状态的时候
[07:50.21 - 07:52.73] 你面对的已经不再是高中课本里
[07:52.73 - 07:54.77] 那种简单的数字信号
[07:54.77 - 07:57.13] 不再是单纯的领合一了
[07:57.13 - 07:57.85] 那是什么
[07:57.85 - 07:59.45] 这种的电磁场问题
[07:59.45 - 08:01.81] 甚至是热力学问题
[08:01.81 - 08:05.69] 我们先说那个PMIC和两颗TS3S
[08:05.69 - 08:07.69] 在那么高频率的运转下
[08:07.69 - 08:09.77] 内存条局部的电压波动
[08:09.77 - 08:12.45] 还有瞬间产生的极高发热量
[08:12.45 - 08:13.53] 都是致命的
[08:13.53 - 08:16.69] 也就是它随时可能烧掉或者死机
[08:16.69 - 08:17.69] 没错
[08:17.69 - 08:20.25] 如果内存模组不能在本地进行
[08:20.25 - 08:23.25] 微妙级别的电源稳压和温度监测
[08:23.25 - 08:26.65] 哪怕只是一个极其微小的电压抖动
[08:26.65 - 08:29.01] 都会导致数据未翻转
[08:29.01 - 08:32.61] 这就可能让整个服务器瞬间当机
[08:32.61 - 08:33.81] 所以这几个芯片
[08:33.81 - 08:37.41] 其实构成了内存条自己的一个微型微伤系统
[08:37.41 - 08:38.69] 非常贴切
[08:38.69 - 08:40.21] 他们是用来保命的
[08:40.21 - 08:43.17] 那MRCD盒那时刻MDB呢
[08:43.17 - 08:45.65] 仅仅是为了让数据跑得更快一点
[08:45.65 - 08:48.97] 就硬升升塞进去11颗额外的芯片
[08:48.97 - 08:49.57] 我在想
[08:49.57 - 08:52.05] 这听起来是不是有点违备了硬件设计
[08:52.05 - 08:54.61] 那种越简单越稳定的常理
[08:54.61 - 08:55.77] 直觉上是这样
[08:55.77 - 08:57.49] 对啊 难道别的硬件大厂
[08:57.49 - 09:00.33] 不能直接把主板上的同线加粗一点
[09:00.33 - 09:04.73] 获得在CPU内部集成一个功率更大的发射器来解决吗
[09:04.73 - 09:07.85] 为什么非得依赖这些所谓的内存接口芯片呢
[09:07.85 - 09:10.57] 他们听起来就像是复杂一点的延长线而已
[09:10.57 - 09:12.97] 这是一个非常经典的物区
[09:12.97 - 09:15.97] 直接加粗同线或者说加大发射功率
[09:15.97 - 09:19.17] 在以前那种逼平时代确实是可行的
[09:19.17 - 09:21.33] 但在现在的高平信号下
[09:21.33 - 09:23.33] 这会导致灾难性个后果
[09:23.33 - 09:24.13] 什么后果
[09:24.13 - 09:25.57] 所谓的算扰
[09:25.57 - 09:26.85] Cross Talk
[09:26.85 - 09:30.89] 也就是说主板上哀的那么近的不同线路之间
[09:30.89 - 09:33.77] 他们的信号会互相严重干扰
[09:33.77 - 09:37.65] 其实我们可以用高盛报告里提到的另外一款核心产品
[09:37.65 - 09:41.21] 造PCIe Retimer也就是重定时期
[09:41.21 - 09:44.41] 来深入理解一下这个物理机制
[09:44.41 - 09:46.13] 我正想问这个retimer呢
[09:46.13 - 09:48.01] 报告里特别强调了一点
[09:48.01 - 09:51.41] 这些芯片绝不是你以为的简单的物理连接线
[09:51.41 - 09:53.77] 他们是非常极其复杂的
[09:53.77 - 09:56.85] 混合了信号模拟和数字处理的设备
[09:56.85 - 09:57.45] 等等
[09:57.45 - 10:00.37] 这就是为什么高盛给mrcd和mdb
[10:00.37 - 10:02.61] 这类支持更高贷宽的盘品
[10:02.61 - 10:05.09] 开除了在2025年的2032年之间
[10:05.09 - 10:08.33] 高达98%的复合年增长率预期吗
[10:08.33 - 10:08.81] 没错
[10:08.81 - 10:09.73] 说实话
[10:09.73 - 10:12.17] 98%的年军复合增长率
[10:12.17 - 10:14.25] 在实体制造业里极其罕见
[10:14.25 - 10:16.45] 这些芯片到底在微观的物理层面上
[10:16.45 - 10:17.85] 是讲了什么魔法
[10:17.85 - 10:19.33] 能有这么高的技术壁类
[10:19.33 - 10:20.53] 你想想一下
[10:20.53 - 10:22.13] 那种极高屏的电信号
[10:22.13 - 10:24.41] 在主板的物理界之中传输
[10:24.41 - 10:26.13] 他没往前走一毫米
[10:26.13 - 10:28.61] 都在遭受物理定律的严重损耗
[10:28.61 - 10:30.09] 也就是走得越远
[10:30.09 - 10:31.05] 信号越弱
[10:31.05 - 10:31.85] 对
[10:31.85 - 10:33.17] 工程学上馆
[10:33.17 - 10:36.01] 这叫插入损耗和信号抖动
[10:36.01 - 10:38.57] 如果是以前那种简单的做法
[10:38.57 - 10:41.41] 单纯的用一个放大器把信号放大
[10:41.41 - 10:42.77] 你知道会发生什么吗
[10:42.77 - 10:44.93] 严带着造音一起放大了
[10:44.93 - 10:45.73] 对
[10:45.73 - 10:49.45] 你会把原本非常微弱的背景造音
[10:49.45 - 10:50.85] 也一并放大
[10:50.85 - 10:52.61] 最后到达接收端的时候
[10:52.61 - 10:54.65] 原本的信号依然是一堆
[10:54.65 - 10:57.09] 根本没发解读的乱码
[10:57.09 - 10:58.53] 我明白你的意思了
[10:58.53 - 10:59.49] 这就好比
[10:59.49 - 11:01.49] 在一个几万人大声宣话的
[11:01.49 - 11:02.97] 巨大体育场里
[11:02.97 - 11:04.41] 我们俩玩传话有戏
[11:04.41 - 11:05.89] 这个常年很形象
[11:05.89 - 11:07.73] 比如你在体育场内头
[11:07.73 - 11:09.01] 低声说了一句
[11:09.01 - 11:10.73] 极其复达的密码
[11:10.73 - 11:12.97] 然后经过中间几十个人的传递
[11:12.97 - 11:15.93] 加上整个体育场的巨大回应感绕
[11:15.93 - 11:17.49] 等传到我这头的时候
[11:17.49 - 11:20.05] 这明晚早就变成了毫无意义的造音了
[11:20.05 - 11:20.73] 是的
[11:20.73 - 11:21.85] 完全听不清了
[11:21.85 - 11:22.33] 这个时候
[11:22.33 - 11:24.05] 如果你用普通的方大气
[11:24.05 - 11:25.61] 就好比给中间传话的
[11:25.61 - 11:28.37] 每一个人都发了一个大老爸扩音器
[11:28.37 - 11:29.49] 结果会怎样
[11:29.49 - 11:32.33] 只会让整个体育场的造音正而于龙
[11:32.33 - 11:33.45] 我依然听不清
[11:33.45 - 11:35.25] 你最初的密码到的是什么
[11:35.25 - 11:36.77] 完全切中要害
[11:36.77 - 11:39.73] 这就是为什么普通的放大气行不通
[11:39.73 - 11:40.89] 而刚才说的
[11:40.89 - 11:42.05] retimer芯片
[11:42.05 - 11:44.61] mrcd以及内时刻mdb
[11:44.61 - 11:45.85] 他们的工作机制
[11:45.85 - 11:48.73] 绝对不是给你们发扩音器
[11:48.73 - 11:50.13] 那他们是怎么做的
[11:50.13 - 11:51.29] 他们就像是
[11:51.29 - 11:53.93] 在这个极其炒闹的体育场里
[11:53.93 - 11:55.53] 每隔一段距离
[11:55.53 - 11:57.17] 就安插了一批世界上
[11:57.17 - 12:00.01] 最顶尖的专业纯御解读专家
[12:00.01 - 12:00.25] 哇
[12:00.25 - 12:01.25] 纯御专家
[12:01.25 - 12:01.85] 对
[12:01.85 - 12:05.49] 这些芯片内部包含了极其复杂的模拟电路
[12:05.49 - 12:08.05] 极使在波行已经被严重扭曲
[12:08.05 - 12:09.81] 眼图就是i-diagram
[12:09.81 - 12:13.05] 净乎避合的那种零件废气状态下
[12:13.05 - 12:15.49] 他们依然能极其准确的提取出
[12:15.49 - 12:17.25] 原本的数字信号训练
[12:17.25 - 12:19.77] 也就是读出你最初说的那种密码
[12:19.77 - 12:20.73] 没错
[12:20.73 - 12:21.73] 读出来之后
[12:21.73 - 12:24.17] 他们在用内部的数字逻辑模块
[12:24.17 - 12:27.01] 重新生成一个完美的干净的
[12:27.01 - 12:28.81] 满血状态的电信号
[12:28.81 - 12:30.61] 然后再往下一站发送
[12:30.61 - 12:33.41] 这就是所谓的重定时与换冲
[12:33.41 - 12:33.93] 天哪
[12:33.93 - 12:36.53] 在一块只有几平方毫米的器片上
[12:36.53 - 12:38.41] 还要以极低的翁号
[12:38.41 - 12:41.13] 微秒甚至纳秒极的极低连持
[12:41.13 - 12:44.25] 去完成模拟信号和数字信号之间的这种
[12:44.25 - 12:46.05] 瞬间转换和重俗
[12:46.05 - 12:47.97] 这技术庇累确实难以想象
[12:47.97 - 12:51.45] 现在你明白为什么供应商聊聊无级了吧
[12:51.45 - 12:55.49] 能做这种在风暴中精准读纯粒的公司
[12:55.49 - 12:57.89] 全世界一直手都属得过来
[12:57.89 - 12:59.53] 怪不得高胜感在这个领域
[12:59.53 - 13:01.73] 给出这么激进的增长预测
[13:01.73 - 13:03.41] 如果谁能垄断这种能力
[13:03.41 - 13:06.05] 谁就真正卡住了算力爆发的严厚
[13:06.05 - 13:06.57] 是的
[13:06.57 - 13:11.65] 一个长达七年年赋和增长98%的赛道
[13:11.65 - 13:15.25] 确实能彻底改变一家公司的风险收益笔
[13:15.25 - 13:18.29] 但是作为投资者或者观察者
[13:18.29 - 13:22.29] 这不得不让我们思考另一个更现实的商业问题
[13:22.29 - 13:23.77] 赚不赚钱的问题
[13:23.77 - 13:24.73] 对呀
[13:24.73 - 13:25.69] 东西卖得多
[13:25.69 - 13:29.85] 需求大绝对不代表这公司最后能赚到钱
[13:29.85 - 13:32.01] 你看硬件制找这个行业
[13:32.01 - 13:33.93] 资本支出大的吓人
[13:33.93 - 13:37.29] 机器设备的折究往往极其残酷
[13:37.29 - 13:41.61] 那蓝起科技到底是怎么把这98%的销售
[13:41.61 - 13:45.21] 增长预期10大时地的转化成为
[13:45.21 - 13:48.85] 高胜财务模型里最底线的那层竞丽润的呢
[13:48.85 - 13:50.29] 问到点资上了
[13:50.29 - 13:52.89] 这其实是华尔街最兴奋的地方
[13:52.89 - 13:56.01] 破局的密码就在于华尔街对这家公司
[13:56.01 - 13:58.37] 利润结构调整的逻辑当中
[13:58.37 - 13:59.37] 嗯
[13:59.37 - 14:03.05] 我看到高胜把公司2026年到2023年的
[14:03.05 - 14:06.65] 竞丽润预期上调了4%到10%
[14:06.65 - 14:07.21] 对
[14:07.29 - 14:09.89] 你注意看报道里关于2026年
[14:09.89 - 14:12.25] 第一季度的那个关键细节
[14:12.25 - 14:14.65] 仅仅是来自四款新产品
[14:14.65 - 14:17.69] 也就是MRCD和MDB
[14:17.69 - 14:19.45] PCIE Retimer
[14:19.45 - 14:23.41] CKD还有CXL MXC这四款
[14:23.41 - 14:27.61] 他们产生的收入已经达到了2.69亿元人民币
[14:27.61 - 14:28.85] 2.69亿
[14:28.85 - 14:30.81] 听起来好像也不是天文数字
[14:30.81 - 14:32.05] 但你要看占比
[14:32.05 - 14:34.37] 他已经占到了接口芯片部门
[14:34.37 - 14:36.69] 总收入的19%了
[14:36.69 - 14:39.21] 仅仅是一个季度的新产品线
[14:39.21 - 14:40.13] 这意味着什么
[14:40.13 - 14:42.85] 意味着他的产品管线正在经济一次
[14:42.85 - 14:45.05] 俱略且极其成功的换血
[14:45.05 - 14:45.65] 呃
[14:45.65 - 14:47.17] 这种商业模式
[14:47.17 - 14:48.25] 不知道为什么
[14:48.25 - 14:49.73] 让我立刻连想到了
[14:49.73 - 14:52.89] 质药行业的那个原研药专利保护期
[14:52.89 - 14:53.65] 哦
[14:53.65 - 14:54.45] 展开说说
[14:54.45 - 14:55.93] 就是你想啊
[14:55.93 - 14:57.29] 当一家质药巨头
[14:57.29 - 14:58.05] 砸重心
[14:58.05 - 15:01.53] 研发出了一款能质与某种决正的新药式
[15:01.53 - 15:03.25] 只要这款药一上市
[15:03.25 - 15:05.17] 因为全市场别无分点
[15:05.21 - 15:06.65] 换者只能买他的
[15:06.65 - 15:08.89] 所以他们掌握了绝对的定价权
[15:08.89 - 15:11.05] 可以享受非常极其高的猫利率
[15:11.05 - 15:11.53] 对
[15:11.53 - 15:12.69] 因为没有竞争
[15:12.69 - 15:15.37] 只要等到所谓的专利悬崖出现
[15:15.37 - 15:16.45] 专利期过了
[15:16.45 - 15:18.13] 各种便宜的仿质料
[15:18.13 - 15:19.21] 大量拥入
[15:19.21 - 15:21.65] 这个药的利润才会真正掉下来
[15:21.65 - 15:22.89] 我觉得高胜报告里
[15:22.89 - 15:25.25] 据到的这个商业规律特别有趣
[15:25.25 - 15:27.13] 当蓝起科剧首发推出
[15:27.13 - 15:30.37] 这些代表最高互联俗度的新一代芯片时
[15:30.37 - 15:32.25] 他们似乎就在享受这样一个
[15:32.25 - 15:34.25] 硬件领域的专利红利期
[15:34.25 - 15:36.21] 你的商业绣绝非常敏锐
[15:36.21 - 15:37.81] 这个类比很棒
[15:37.81 - 15:38.89] 但是在这里
[15:38.89 - 15:41.45] 为了让你更准确的理解这份报告
[15:41.45 - 15:43.53] 我们需要对这个类比增加一层
[15:43.53 - 15:45.97] 半导体行业特有的残酷底色
[15:45.97 - 15:47.21] 怎么个残酷法
[15:47.21 - 15:51.77] 原研药的龙断期可能长达10年
[15:51.77 - 15:53.57] 甚至20年
[15:53.57 - 15:55.13] 大家躺着赚钱
[15:55.13 - 15:58.21] 但高胜报告里街市的这种
[15:58.21 - 16:01.09] 属于街口芯片的猫利率模法
[16:01.09 - 16:02.93] 它的时间窗口极短
[16:02.93 - 16:03.69] 没有多短
[16:03.73 - 16:04.89] 在芯片领域
[16:04.89 - 16:08.53] 因为竞争对手疯狂的反向工程
[16:08.53 - 16:12.05] 或者是新一代通信协议标准出的太快
[16:12.05 - 16:14.53] 这种暴力窗口往往会被压缩到
[16:14.53 - 16:16.85] 仅仅18到24个月
[16:16.85 - 16:19.09] 我连两年的时间都不到
[16:19.09 - 16:19.73] 对
[16:19.73 - 16:21.21] 一旦过了这个窗口
[16:21.21 - 16:23.77] 老产品的年度价格下条
[16:23.77 - 16:26.05] 那是雷打不动的铁率
[16:26.05 - 16:28.81] 价格直接腰斩都是正常的
[16:28.81 - 16:33.49] 因此公司想要维持整体财报上的高毛利
[16:33.49 - 16:35.17] 绝对不可能向腰起
[16:35.17 - 16:37.97] 那样躺在某个原验腰上睡觉
[16:37.97 - 16:40.01] 所以他们必须一直出新产品
[16:40.01 - 16:40.57] 没错
[16:40.57 - 16:44.29] 必须保持一种进乎疯狂的不停推薦的节奏
[16:44.29 - 16:45.13] 就是说
[16:45.13 - 16:47.25] 必须永远在崩跑
[16:47.25 - 16:49.17] 用下一代的高毛利
[16:49.17 - 16:51.53] 去强行填补上一代产品
[16:51.53 - 16:53.21] 降价带来的空间流氏
[16:53.21 - 16:54.13] 正是这样
[16:54.13 - 16:55.49] 难怪我注意到
[16:55.49 - 16:58.33] 管理层在报告里透露了一个消息
[16:58.33 - 17:03.17] 说他们的PHY Retimer和PCIE交换机
[17:03.17 - 17:04.65] 也就是Switch芯片
[17:04.65 - 17:06.57] 都计划在2026年
[17:06.57 - 17:07.77] 就进行刘骗
[17:07.77 - 17:08.93] 也就是Taybot
[17:08.93 - 17:09.33] 对
[17:09.33 - 17:11.57] 刘骗是非常关键的节点
[17:11.57 - 17:14.69] 这种卡着节点像台级店这种代工厂
[17:14.69 - 17:15.85] 交付设计
[17:15.85 - 17:17.37] 准备市产的节奏
[17:17.37 - 17:20.05] 确实验证了你刚才说的持续换血
[17:20.05 - 17:22.65] 而且高胜的模型中有一个数据
[17:22.65 - 17:23.45] 格外显眼
[17:23.45 - 17:25.05] 我不知道大家有没有注意到
[17:25.05 - 17:28.57] 你是说那个利润增速和开支的减倒差
[17:28.57 - 17:29.61] 没错
[17:29.61 - 17:32.93] 他们预计在2026年到2028年之三年里
[17:32.93 - 17:35.61] 公司的尽力人复合年增长率
[17:35.61 - 17:37.61] 将高达38%
[17:37.61 - 17:38.57] 但同时
[17:38.57 - 17:40.45] 他们预估公司的运营之处
[17:40.45 - 17:41.57] 也就是Opex
[17:41.57 - 17:43.05] 居然能保持不变
[17:43.05 - 17:46.81] 这正是华尔街最最喜欢的财务指标之一了
[17:46.81 - 17:49.09] 这叫极强的经营杠杆
[17:49.09 - 17:50.17] Operating Leverage
[17:50.17 - 17:50.61] 对吧
[17:50.61 - 17:51.09] 对
[17:51.09 - 17:52.17] 你想想看
[17:52.17 - 17:56.41] 在一个公司的研发股幹团对和全球销售网络
[17:56.41 - 17:58.89] 已经搭建成型的前提下
[17:58.89 - 18:02.77] 公司只要多卖出一颗高毛利的新一代芯片
