[00:00.02 - 00:01.82] Hello 大家好,我是裁哥
[00:01.82 - 00:05.74] 過去這幾個月,我是否反覆跟大家強調,今年一定要站在光裡
[02:10.94 - 02:13.90] 相當於前線作戰部隊,訂單來了最先拿得好處
[02:13.90 - 02:16.94] 比如中計續創,全球高速光磨塊的龍頭老大
[02:16.94 - 02:19.58] 全球視戰率穩定在28%到30%
[02:19.58 - 02:22.06] 80.0G、1.6T產品都是行業標竿
[02:22.06 - 02:24.30] 還是英偉達、谷歌的核心供應商
[02:24.30 - 02:26.66] 更關鍵的是,它和MARRO深度合作
[02:26.66 - 02:29.74] 一起研發800G,ZR、1.6T規光磨塊
[02:29.74 - 02:31.58] 完全欠入了MARRO的生態力
[02:31.58 - 02:34.02] 跟著巨頭一起成長,這安全感拉滿了對吧
[02:34.54 - 02:37.46] 還有新一勝,全球第二T隊的頭部廠商
[02:37.46 - 02:39.18] LPO技術做得特別領先
[02:39.18 - 02:41.58] 產品已經通過META亞馬遜的認證
[02:41.62 - 02:43.94] 也是MARRO DSP芯片的重點客戶
[02:43.94 - 02:47.34] 現在1.6T光磨塊已經批量出貨了,訂單根本不籌
[02:47.34 - 02:50.50] 光訊科技也很厲害,它是國內特別稀缺的企業
[02:50.50 - 02:53.46] 技能自研光DSP,又能做規光技術
[02:53.46 - 02:57.66] 還和MARRO一起推出了全球手款1.6T歐波段相干光磨塊
[02:57.66 - 03:01.62] 專門綁定高端數通市場,技術壁雷很高,別人想追不容易
[03:01.62 - 03:04.74] 對了,還有天賦通信全球光隱形的龍頭
[03:04.74 - 03:08.70] 是中計續創,新一勝有這些廠商的上游核心旗艦供應商
[03:08.70 - 03:10.22] 相當於彈藥供應商
[03:10.22 - 03:13.54] 而且它在CPO,歸光封裝領域技術積累身後
[03:13.54 - 03:17.02] 是MARRO生態裡的關鍵合作夥伴,上游地位特別穩
[03:17.02 - 03:19.38] 不管下游怎麼變,它都能分到一杯更
[03:19.38 - 03:22.50] 東山精密也值得提一下,通過並夠鎖耳絲光電
[03:22.50 - 03:26.62] 做成了光芯片加光磨塊加高端PCB的全產業鏈整合
[03:26.62 - 03:29.58] 自己能量產100G200G高速光芯片
[03:29.58 - 03:32.14] 4.0G80G磨塊已經量產
[03:32.14 - 03:34.02] 1.6T產品也在驗證中
[03:34.02 - 03:39.46] 還佈局了CPO LPO新技術,客戶包括英尾達META這些全球頭部廠商
[03:39.46 - 03:43.42] 是國內少見的能自己搞定全流程的光電一體化方案商
[03:43.42 - 03:46.78] 這種全產業鏈的企業抗風險能力特別強
[03:46.78 - 03:50.02] 接下來第二個環節,光芯片,這是國產替代的核心
[03:50.02 - 03:52.98] 相當於核心零部件工廠,光磨塊的心臟就是它
[03:52.98 - 03:56.30] 比如原節科技,數據中心高速激光器芯片的龍頭
[03:56.30 - 03:59.18] 800G1.6T光芯片的主力工貨商
[03:59.18 - 04:01.42] 處在英尾達MARRO產業鏈的上游
[04:01.42 - 04:04.78] 行業需求一長,它直接受益,屬於躺著也能賺錢的那種
[04:04.78 - 04:09.34] 玉泰圍也很牛,是A股裡少有的能自主研發光磨塊DSP的廠商
[04:09.34 - 04:13.18] 七納米工藝的800G1.6TDSP芯片已經送樣驗證了
[04:13.18 - 04:16.18] 產品直接對標MARRO,國產替代的空間特別大
[04:16.18 - 04:20.70] 畢竟我們都想減少對海外芯片的依賴,這種企業國家肯定也會大力支持
[04:20.70 - 04:24.62] 要產光滑星,國內少有的全流程IDM模式光芯片平台
[04:24.62 - 04:27.54] 從外延,金人製造到封測,全自己做
[04:27.54 - 04:30.26] 已經實現100G200G高端通信芯片量產
[04:30.26 - 04:33.22] 200G芯片也交付了,還再見歸光產線
[04:33.22 - 04:36.74] 產品完全是配800G1.6T光磨塊的國產化需求
[04:36.74 - 04:39.74] 填補了國內高端光芯片的空白,特別有價值
[04:39.74 - 04:42.42] 這種應和技術型企業未來潛力無限
[04:42.42 - 04:45.10] 最後第三個環節,CPO規光設備
[04:45.10 - 04:48.22] 如果說前面的企業是挖礦的,那設備廠商就是賣產子的
[04:48.22 - 04:51.02] 不管誰挖礦,都得用產子,確定性特別高
[04:51.02 - 04:55.26] 比如羅伯特科,收購了全球光通信自動化設備龍頭FACONTAC
[04:55.26 - 04:58.42] 掌握了國內獨有的光旗艦自動化物和核心技術
[04:58.42 - 05:01.42] CPO規光生產線要量產,必須用它的設備
[05:01.42 - 05:04.58] 直接受益於MARRO,中計續創這些頭部廠商擴產
[05:04.58 - 05:06.42] 訂單跟著產能走,穩得很
[05:06.42 - 05:09.46] 科瑞技術是光磨塊封裝設置設備的龍頭
[05:09.46 - 05:12.46] 能提供偶和共經、整體檢測的全鏈條設備
[05:12.46 - 05:14.62] 既綁定了海外頭部光旗艦大廠
[05:14.62 - 05:16.82] 也給中計續創等國內龍頭功貨
[05:16.82 - 05:19.54] 光磨塊擴產,它的設備訂單就會跟著放量
[05:19.54 - 05:22.82] 連訊儀器專門做規光CPO的全鏈條設置儀器
[05:22.82 - 05:25.78] 覆蓋金源測試,芯片老化檢測這些關鍵工序
[05:25.78 - 05:29.58] 是國內少數能給規光芯片量產做配套測試的本土企業
[05:29.58 - 05:32.18] 現在上游芯片製造環節,不可或缺
[05:32.18 - 05:33.58] 別人想替代很難
[05:33.58 - 05:37.42] 還有華盛昌,通過收購專業光通性測試企業切入賽道
[05:37.42 - 05:40.18] 產品線能覆蓋800G 1.6T光磨塊
[05:40.18 - 05:42.58] 規光芯片的量產驗證和性能測試
[05:42.58 - 05:45.06] 補齊了國內高速光電測試設備的短板
[05:45.06 - 05:47.58] 現在國內廠商都需要這樣的本土測試設備
[05:47.58 - 05:49.38] 畢竟總用海外的也不踏實
[05:49.38 - 05:53.58] 智力方主工光芯片的固經、排巴、AOI視覺檢測設備
[05:53.78 - 05:55.98] 產品能試佩CPU封裝的全流程
[05:55.98 - 05:59.98] 主打高精度自動化設備和海外高端設備形成挫尾競爭
[05:59.98 - 06:02.98] 國內很多規光CPU產線都在用它的設備
[06:02.98 - 06:04.98] 性價比高、很受歡迎
[06:04.98 - 06:07.98] 好了,今天關於光互聯賽道的核心邏輯和受益企業
[06:07.98 - 06:09.18] 就給大家分享到這裡
[06:09.18 - 06:10.58] 最後跟大家做個免責說明
[06:10.58 - 06:11.78] 我分享的所有內容
[06:11.78 - 06:13.78] 都來自官方媒體和公開網路新聞
[06:13.78 - 06:15.58] 只做行業動態交流和信息分享
[06:15.58 - 06:16.98] 不構成任何投資建議
[06:16.98 - 06:18.78] 投資一定要理性獨立判斷
[06:18.78 - 06:20.38] 結合自己的情況量力而行
[06:20.38 - 06:21.58] 千萬別盲目跟風
[06:21.78 - 06:22.78] 畢竟錢是自己的
[06:22.78 - 06:23.78] 得對自己負責對吧
[06:24.38 - 06:26.18] 如果覺得今天的內容對你有參考價值
[06:26.18 - 06:27.78] 別忘了點贊、關注、留言評論
[06:27.78 - 06:29.78] 咱們下期接著聊產業應和干貨
[06:29.78 - 06:30.38] 下期再見
