[00:00.00 - 00:02.68] 本地Agent是AI發展現在最重要的領域
[01:18.48 - 01:19.72] 我覺得已經很誇張了
[01:19.72 - 01:20.96] 之後大家會了解到說
[01:20.96 - 01:21.92] 做同樣的事情
[01:21.92 - 01:23.64] 其實PieA的消耗量會小很多
[01:23.64 - 01:24.64] 所以它排在第六名
[01:24.64 - 01:25.76] 我覺得已經很厲害了
[01:25.76 - 01:28.48] 最近三個月Pie是我用的最多的AI工具
[01:28.48 - 01:31.76] 所以我今天就想用PieAgent來給大家做一個Agent
[01:31.76 - 01:33.00] 和Skill的入門教學
[01:33.00 - 01:35.12] 我會手把手來教大家做三件事情
[01:35.12 - 01:37.48] 第一個就是安裝啟動PieAgent
[01:37.48 - 01:39.24] 第二個就是我們一邊裝Skill
[01:39.24 - 01:40.36] 一邊去演示案例
[01:40.36 - 01:44.60] 搜索的讀PDF的讀Office的語音、身圖、做視頻
[01:44.60 - 01:46.24] 每一步我們現場都去跑一遍
[01:46.24 - 01:49.88] 第三部分最後我會讓PieAgent去做一個完整的大案例
[01:49.88 - 01:52.40] 調研並且去自動生成一個很酷的視頻
[01:52.40 - 01:53.60] 然後再順便提一句
[01:53.60 - 01:55.76] 觀看這個視頻我覺得最好的學習方法
[01:55.76 - 01:56.96] 是你打開你的電腦
[01:56.96 - 01:58.96] 一邊看我的視頻一邊自己去動手
[01:58.96 - 02:00.08] 視頻可能有點長
[02:00.08 - 02:01.36] 大家可以先點贊收藏
[02:01.36 - 02:02.16] 然後慢慢看
[02:02.16 - 02:03.08] 我們現在正式開始
[02:03.08 - 02:04.76] 我們先來說一個很重要的區分
[02:04.76 - 02:06.52] 就是像Cloud Code的CodeX
[02:06.52 - 02:08.84] OpenCode這些都是代碼智能器
[02:08.84 - 02:11.28] 這個Agent的主要目的就是去寫代碼
[02:11.28 - 02:12.12] 產出就是代碼
[02:12.12 - 02:13.36] 也讓它去寫一個功能
[02:13.36 - 02:16.48] 它交付給你的就是整個項目裡面的一個個文件
[02:16.48 - 02:17.92] 比如說我拿Cloud Code的舉例子
[02:17.92 - 02:20.48] 它裡面就預裝了代碼的所影、測試
[02:20.48 - 02:22.60] 運行、Get the操作、別碼規範
[02:22.64 - 02:26.80] 整套都是圍繞著更好的去交付代碼項目去設計的
[02:26.80 - 02:27.48] 開箱即用
[02:27.48 - 02:29.32] 寫代碼確實是非常方便
[02:29.32 - 02:31.20] 但大家平時任務其實都不一樣了
[02:31.20 - 02:33.28] 不是每個人都天天坐在那邊寫代碼
[02:33.28 - 02:35.60] 你可能想要去搜資料、讀PDF
[02:35.60 - 02:37.80] 針離表格、寫會、報、做PBT
[02:37.80 - 02:40.20] 如果你預裝一套通用的編程的工具
[02:40.20 - 02:43.44] 其實沒有辦法去照顧到所有人的日常辦公的需求
[02:43.44 - 02:45.12] 派是怎麼解決這個問題的呢
[02:45.12 - 02:46.00] 派的設計策略
[02:46.00 - 02:47.72] 其實跟其他的Agent都不太一樣
[02:47.72 - 02:49.88] 其他的Agent 大家知道功能越來越多
[02:49.88 - 02:51.00] 派是反過來的
[02:51.00 - 02:52.48] 它是一個極簡主義者
[02:52.52 - 02:54.32] 它把底座做得非常的極簡
[02:54.32 - 02:55.96] 只保留四個最細數的工具
[02:55.96 - 02:58.44] 讀文件、寫文件、改文件和跑命令
[02:58.44 - 02:59.16] 除此之外
[02:59.16 - 03:00.40] 其他什麼都不裝了
[03:00.40 - 03:01.52] 它為什麼這樣設計呢
[03:01.52 - 03:04.48] 是因為它想讓你去搭一個自己的Agent
[03:04.48 - 03:05.60] 如果你是搞研究的
[03:05.60 - 03:07.76] 你可以裝PDF 裝搜索的Skyl
[03:07.76 - 03:09.00] 如果你是辦公的
[03:09.00 - 03:10.52] 你可以裝表格的Skyl
[03:10.52 - 03:11.88] 如果你想讓它開口說話
[03:11.88 - 03:13.56] 你就去裝Agent TTSSkyl
[03:13.56 - 03:14.84] 如果你去想做視頻
[03:14.84 - 03:16.16] 就去裝HyperFrames
[03:16.16 - 03:17.16] 你裝一個Skyl
[03:17.16 - 03:18.48] Agent就多一項能力
[03:18.48 - 03:19.72] 每個人手中的派
[03:19.72 - 03:20.96] 最後長得都不太一樣
[03:20.96 - 03:22.44] 大家看它這個官網上的口號
[03:22.44 - 03:23.16] 也是這個意思
[03:23.16 - 03:26.00] 世界上有很多很多其他不同類型的Agent
[03:26.00 - 03:28.76] 但是這個派Agent就是你自己的Agent
[03:28.76 - 03:30.80] 這句話就是最精確的表達了
[03:30.80 - 03:33.16] 它這個派Agent設計的基本的理念
[03:33.16 - 03:35.16] 上面我提到了好幾次的Skyl
[03:35.16 - 03:36.60] Skyl具體是什麼東西呢
[03:36.60 - 03:38.60] 就是一份給Agent的說明書
[03:38.60 - 03:40.36] 一份給Agent的操作手冊
[03:40.36 - 03:41.44] Agent的讀完之後
[03:41.44 - 03:43.32] 它就知道怎麼來具體的干活了
[03:43.32 - 03:45.08] 我們看它底座保持極簡
[03:45.08 - 03:47.28] 能力就是你可以安需取安裝
[03:47.28 - 03:48.60] 這就是派的設計思路
[03:48.60 - 03:50.36] 到這裡可能有些朋友也會好奇
[03:50.40 - 03:52.24] 就是說你這差別到底能有多大呢
[03:52.24 - 03:53.52] 聽起來好像也差不多嘛
[03:53.52 - 03:54.92] 我給你舉一個具體的例子
[03:54.92 - 03:56.56] 如果你平時去用Cloud Code
[03:56.56 - 03:58.28] 發一條你好發一條Hello
[03:58.28 - 04:00.80] 這個系統提示詞就會站到你2萬的頭肯
[04:00.80 - 04:03.16] 像CodeX跟OpenCode可能稍微少一點
[04:03.16 - 04:05.04] 但也要1萬5千字的頭肯左右
[04:05.04 - 04:05.84] 派有多少呢
[04:05.84 - 04:07.92] 派的系統提示詞不到1500字
[04:07.92 - 04:08.84] 差出十幾倍
[04:08.84 - 04:10.52] 這會帶來直接的3個好處
[04:10.52 - 04:11.36] 第一就是快
[04:11.36 - 04:12.16] 上下文短
[04:12.16 - 04:13.24] 模型就會算得快
[04:13.24 - 04:14.32] 結束了答案也會快
[04:14.32 - 04:15.92] 第二點就是審頭肯
[04:15.92 - 04:18.08] 我自己的體感就是做同樣規模的任務
[04:18.08 - 04:18.72] 頭肯消耗
[04:18.76 - 04:20.60] 大概只有Cloud Code的3分之一左右
[04:20.60 - 04:21.16] 甚至更少
[04:21.16 - 04:22.48] 第三點就是聰明
[04:22.48 - 04:23.84] 模型的注意力是有限的
[04:23.84 - 04:24.52] 大家知道
[04:24.52 - 04:25.88] 如果你的提示詞越長
[04:25.88 - 04:27.64] 模型可能它的注意力就越分散
[04:27.64 - 04:28.52] 在派裡面
[04:28.52 - 04:30.36] 沒有1萬字的預設的這種
[04:30.36 - 04:31.72] 為了編成的提示詞
[04:31.72 - 04:33.00] 在旁邊去搶注意力
[04:33.00 - 04:34.68] 在同一個日常的任務當中
[04:34.68 - 04:36.64] 派就是比Cloud Code更聰明
[04:36.64 - 04:37.20] 更聽話
[04:37.20 - 04:38.60] 這個體感就會很明顯
[04:38.60 - 04:39.64] 再回到開頭說的
[04:39.64 - 04:40.88] 這個OpenRoute的排名
[04:40.88 - 04:41.64] 派的對話
[04:41.64 - 04:42.88] 每次消耗的頭肯
[04:42.88 - 04:44.72] 只有其他Agent的幾分之一
[04:44.72 - 04:46.56] 但總消耗量全都排在第6
[04:46.56 - 04:48.16] 我覺得這個含金量就很高了
[04:48.16 - 04:49.04] 說明在海外
[04:49.04 - 04:50.20] 在這個級客圈裡面
[04:50.20 - 04:51.84] 已經有一大批人把派
[04:51.84 - 04:53.28] 當成日常工具再用了
[04:53.28 - 04:54.88] 然後派默認
[04:54.88 - 04:57.36] 它是跑在這樣的命令行裡面
[04:57.36 - 04:58.52] 你看到有點繁瑣
[04:58.52 - 05:00.36] 所以我給它包裝了一層網頁
[05:00.36 - 05:03.40] 把它做成一個簡單的容易使用的應用
[05:03.40 - 05:04.04] 這個項目
[05:04.04 - 05:05.64] 我自己大概已經使用了三個月左右
[05:05.64 - 05:06.60] 我跟我的朋友們
[05:06.60 - 05:07.76] 基本上每天都在用
[05:07.76 - 05:09.68] 確實把我很多日常的工作流
[05:09.68 - 05:10.40] 都串了起來
[05:10.40 - 05:11.56] 我覺得非常的順手
[05:11.56 - 05:13.40] 所以我現在公開出來的開源出來的
[05:13.40 - 05:14.52] 如果大家有需要的話
[05:14.52 - 05:15.56] 也可以直接拿去用
[05:15.56 - 05:16.44] 下面的演示
[05:16.44 - 05:18.12] 其實就是用我自己開發的
[05:18.12 - 05:19.00] 這個派的應用
[05:19.00 - 05:20.80] 好我們先來安裝這個派
[05:20.80 - 05:21.56] 怎麼安裝呢
[05:21.56 - 05:23.96] 當然首先先要來安裝NodeJS
[05:23.96 - 05:26.44] 這個幾乎是你去裝所有的Agent
[05:26.44 - 05:28.88] 都要去依賴的一個基礎的東西
[05:28.88 - 05:29.84] 如果你之前安裝過
[05:29.84 - 05:30.68] 那就跳過這一步
[05:30.68 - 05:31.64] 如果你沒有安裝過
[05:31.64 - 05:33.68] 你就在這邊選擇自己合適的
[05:33.68 - 05:34.44] 電腦的環境
[05:34.44 - 05:35.44] 然後下達安裝包
[05:35.44 - 05:37.04] 雙機之後一直下一步
[05:37.04 - 05:37.32] 下一步
[05:37.32 - 05:38.52] 它就幫你自動安裝好了
[05:38.52 - 05:39.80] 然後打開你的中端
[05:39.80 - 05:40.68] 在啟動之前
[05:40.68 - 05:42.04] 有一個可選的步驟
[05:42.04 - 05:43.92] 就是設置國內的進項加速
[05:43.92 - 05:45.60] 你可以去搜一下NPM
[05:45.60 - 05:46.64] 國內的進項加速
[05:46.68 - 05:48.44] 這裡我用的是騰訊的進項加速
[05:48.44 - 05:49.76] 就是輸入這樣一行命令
[05:49.76 - 05:51.28] 然後直接回車就可以了
[05:51.28 - 05:52.56] 設置好進項站之後
[05:52.56 - 05:53.96] 我們就可以啟動派了
[05:53.96 - 05:54.76] 如果你是Windows
[05:54.76 - 05:55.80] 你可以點擊菜單
[05:55.80 - 05:57.16] 打開你的PowerShear應用
[05:57.16 - 05:58.12] 如果你是Mac
[05:58.12 - 05:59.40] 直接打開中端就可以了
[05:59.40 - 06:01.20] 所有的都是這樣同一條命令
[06:01.20 - 06:01.92] 然後回車
[06:01.92 - 06:03.12] 它會問你是否繼續
[06:03.12 - 06:04.64] 你說外代表是的
[06:04.64 - 06:06.60] 剛剛輸入的這條命令的意思是什麼呢
[06:06.60 - 06:08.20] 就是運行我開發的
[06:08.20 - 06:09.60] PieWeb的最新版本
[06:09.60 - 06:11.40] 它手次運行需要下載一些
[06:11.40 - 06:12.76] 項目文件也就會慢一點
[06:12.76 - 06:13.76] 之後更新的時候
[06:13.76 - 06:15.28] 都是會從緩頭裡面去加載
[06:15.28 - 06:15.96] 會快很多
[06:16.00 - 06:16.84] 安裝好之後
[06:16.84 - 06:19.72] 它就會自動彈出派的網頁應用了
[06:19.72 - 06:21.04] 就是大概長這樣子的
[06:21.04 - 06:23.76] 看到左邊就是文件流兩氣
[06:23.76 - 06:25.72] 你可以選擇一個自己的目錄
[06:25.72 - 06:28.56] 或者用我設置的默認的目錄
[06:28.56 - 06:30.04] 然後下面大家可以看到
[06:30.04 - 06:31.08] 可以設置模型
[06:31.08 - 06:33.60] 可以設置添加自己的Skills
[06:33.60 - 06:35.68] 然後中間就是我們非常熟悉的
[06:35.68 - 06:37.72] 這樣一個對話框的PieWeb
[06:37.72 - 06:39.72] 然後你可以在這裡輸入文字
[06:39.72 - 06:40.80] 也可以上傳圖片
[06:40.80 - 06:42.92] 然後可以選擇一些參數
[06:42.92 - 06:43.80] 模型等等
[06:43.80 - 06:44.60] 然後第一步
[06:44.64 - 06:47.04] 我們就是要先來添加我們的模型
[06:47.04 - 06:48.36] 因為你沒有模型的話
[06:48.36 - 06:49.52] 你就Agent做得再好
[06:49.52 - 06:50.16] 其實也沒有用
[06:50.16 - 06:51.08] 點擊這裡的模型
[06:51.08 - 06:52.80] 點擊添加模型服務商
[06:52.80 - 06:55.56] 我們看到派支持很多官方的供應商
[06:55.56 - 06:57.84] 然後也支持走GVT的訂閱
[06:57.84 - 06:58.88] 如果列表你沒有
[06:58.88 - 07:01.80] 你就選Custom自定意義借口
[07:01.80 - 07:02.92] 這一步就跟你配置
[07:02.92 - 07:04.36] 其他的Agent 接口一樣
[07:04.36 - 07:06.08] 填好BS URL
[07:06.08 - 07:07.56] 填好你的API-T
[07:07.56 - 07:08.92] 然後點保存就可以了
[07:08.92 - 07:10.16] 添加好服務商之後
[07:10.16 - 07:12.36] 我們在這裡選擇添加模型
[07:12.36 - 07:13.84] 我們填上模型的名字
[07:13.88 - 07:15.72] 我們今天用的是GPD5.5
[07:15.72 - 07:17.20] 最近用5.5是太爽了
[07:17.20 - 07:17.84] 量又大
[07:17.84 - 07:18.72] 然後能力又強
[07:18.72 - 07:21.08] 這一台勾選上他的推理模式
[07:21.08 - 07:22.84] 然後可以允許圖片輸入
[07:22.84 - 07:26.08] 然後把最強的X-I的思考模式選上
[07:26.08 - 07:27.44] 窗口我們選擇20萬
[07:27.44 - 07:30.36] 然後這裡填個64的最高的偷懇輸出
[07:30.36 - 07:30.84] 保存
[07:30.84 - 07:32.08] 然後我們來測試一下
[07:32.08 - 07:33.16] 發個你好
[07:33.16 - 07:34.24] 我們看到模型已經通了
[07:34.24 - 07:35.72] 然後我發送
[07:35.72 - 07:36.56] 我問他一下說
[07:36.56 - 07:38.52] 看一下我的桌面上有什麼
[07:38.52 - 07:40.56] 你看他已經能讀取我的電腦上
[07:40.56 - 07:41.64] 桌面上的這個文件了
[07:41.68 - 07:44.20] 其實就是我們下載完派之後
[07:44.20 - 07:45.56] 什麼功能都沒加的派
[07:45.56 - 07:46.80] 已經能做不少的事情了
[07:46.80 - 07:48.28] 比如說整理文件夾
[07:48.28 - 07:49.84] 然後批量改文件的名字
[07:49.84 - 07:51.20] 執行命令跑腳本
[07:51.20 - 07:52.40] 只要是本地電腦上
[07:52.40 - 07:54.36] 能通過文件和命令完成的事情
[07:54.36 - 07:56.48] 派他基本上都可以幫你去完成
[07:56.48 - 07:56.84] 好了
[07:56.84 - 07:57.84] 到這一部為止
[07:57.84 - 07:59.72] 我們看到我們的 agent已經調通了
[07:59.72 - 08:01.56] 接下來我們開始學習 skills
[08:01.56 - 08:02.88] 很多人覺得這個
[08:02.88 - 08:05.20] GNAAS在概念太多發展太快
[08:05.20 - 08:06.04] 不知道從哪裡開始
[08:06.04 - 08:07.72] 那就牢牢的記住一個公式
[08:07.72 - 08:08.84] agent 加上 skill
[08:08.84 - 08:09.48] 這樣就可以了
[08:09.48 - 08:10.68] 這是對於普通人來說
[08:10.68 - 08:12.00] 現在最基本的框架
[08:12.00 - 08:12.92] 最本質的邏輯
[08:12.92 - 08:13.84] 下面我演示的
[08:13.84 - 08:15.68] 不單純是去裝一個 skill
[08:15.68 - 08:17.12] 因為我這裡也加了一個
[08:17.12 - 08:18.84] 很方便的裝 skill的按鈕
[08:18.84 - 08:19.92] 我會裝一個 skill
[08:19.92 - 08:21.36] 然後馬上跑一個小任務
[08:21.36 - 08:23.08] 因為看到說我的派
[08:23.08 - 08:25.24] 怎麼樣從一個只能讀寫文件的
[08:25.24 - 08:26.44] 這樣一個本地的 agent
[08:26.44 - 08:28.16] 一步步的變成一個能搜索
[08:28.16 - 08:28.84] 能讀資料
[08:28.84 - 08:30.04] 能說畫能身圖
[08:30.04 - 08:32.44] 甚至能做視頻的一個工作流的 agent
[08:32.44 - 08:33.36] 點擊 skills
[08:33.36 - 08:35.52] 然後我們這裡添加 skill
[08:35.52 - 08:37.48] 你可以去搜索 skill的名字
[08:37.48 - 08:39.60] 然後選擇裡面想裝 skill
[08:39.60 - 08:40.64] 點擊安裝就可以了
[08:40.64 - 08:41.64] 這裡有兩個選項
[08:41.64 - 08:42.80] 一個叫做 global
[08:42.80 - 08:43.64] 一個叫做 project
[08:43.64 - 08:44.16] global
[08:44.16 - 08:45.96] 意思就是說你在 global
[08:45.96 - 08:47.24] 情況下安裝的 skills
[08:47.24 - 08:48.44] 是所有你的項目
[08:48.44 - 08:49.84] 都可以去使用的 skills
[08:49.84 - 08:51.24] 如果你在 project 裡面
[08:51.24 - 08:52.20] 去安裝的 skill
[08:52.20 - 08:53.64] 就是只有這個項目
[08:53.64 - 08:54.76] 你可以用這個 skill
[08:54.76 - 08:56.48] 其他項目不能去使用這個 skill
[08:56.48 - 08:58.44] 所以我一般就沒人就選 global
[08:58.44 - 08:59.72] 今天我會來裝幾個
[08:59.72 - 09:01.08] 我平時最常用的 skills
[09:01.08 - 09:03.56] 覆蓋基本上 90%的日常的場景
[09:03.56 - 09:05.96] 第一個就是要安裝搜索的 skills
[09:05.96 - 09:07.16] 讓我的派 agent
[09:07.16 - 09:08.60] 能夠去聯網搜索
[09:08.60 - 09:10.44] 為智能體提供搜索服務的上將
[09:10.44 - 09:12.40] 也有很多我這一呢推薦兩個
[09:12.40 - 09:14.48] 第一個呢就是這個 tab理 search
[09:14.48 - 09:15.44] 它注測很簡單
[09:15.44 - 09:16.44] 免費帳號每個月
[09:16.44 - 09:18.28] 有1000次的這個搜索的度
[09:18.28 - 09:19.80] 是很適合這個新手去使用
[09:19.80 - 09:21.72] 第二個呢就是 brave search
[09:21.72 - 09:23.32] 它的搜索結果會更好一點
[09:23.32 - 09:25.52] 但是比較麻煩的就是需要綁進信用卡
[09:25.52 - 09:27.44] 免費的度呢也是1000次是一樣的
[09:27.44 - 09:28.84] 我這裡呢先給大家一人
[09:28.84 - 09:30.68] 是 tab理怎麼來安裝
[09:30.68 - 09:33.52] 我要這裡直接搜索 tab理 search點擊安裝
[09:34.36 - 09:35.04] 安裝好了
[09:35.04 - 09:38.20] 然後呢我們去這個 tab理 search的官網
[09:38.20 - 09:39.40] 注測一個免費帳號
[09:39.40 - 09:41.96] 然後可以把這個 key複製過來
[09:41.96 - 09:42.96] 我們回到派之後
[09:42.96 - 09:45.84] 先給他說幫我去設置 tab理 search
[09:45.84 - 09:47.24] 用的 key然後 key是什麼什麼
[09:47.24 - 09:48.64] 就是你剛才複製過來的這個 key
[09:48.64 - 09:49.52] 就發送
[09:49.52 - 09:52.08] 然後派呢會自己去寫入這個配置
[09:53.52 - 09:54.64] 他配置好之後呢
[09:54.64 - 09:56.48] 我們馬上來試一個小任務
[09:56.48 - 09:57.44] 看看能不能搜索
[09:57.44 - 10:00.36] 搜一下這週最重要的五條 AI新聞
[10:00.36 - 10:01.76] 安重要程度排序
[10:01.76 - 10:03.68] 每條說明發生了什麼
[10:03.68 - 10:04.44] 為什麼重要
[10:04.44 - 10:05.60] 是不是和做短視頻
[10:05.60 - 10:08.68] 保存到一個 news.md 文件發送
[10:08.72 - 10:10.04] 我們看到這個派呢
[10:10.04 - 10:11.60] 開始調用搜索的 skill
[10:11.60 - 10:12.68] 然後去整理結果
[10:12.68 - 10:14.56] 他不是只給我隨便很多的
[10:14.56 - 10:15.44] 一大堆的鏈接
[10:15.44 - 10:17.76] 你看他這裡有一個評價搜索結果
[10:17.76 - 10:20.56] 他可能會把新聞去去重排序
[10:20.56 - 10:22.20] 然後再按照我的這個需求
[10:22.20 - 10:24.40] 判斷哪些更適合去做短視頻
[10:24.40 - 10:24.72] 好了
[10:24.72 - 10:25.88] 任務幫我們全部做完了
[10:25.88 - 10:28.60] 你看最後幫我們生成了一個 news.md 文件
[10:28.60 - 10:30.08] 存在了我們當前這個幕錄下面
[10:30.08 - 10:30.88] 我們來看一下
[10:30.88 - 10:31.52] 在右邊呢
[10:31.52 - 10:33.04] 我還寫這個預然介面
[10:33.04 - 10:35.00] 給到這個派員去用
[10:35.00 - 10:36.80] 你看五條 AI新聞非常清楚
[10:36.80 - 10:37.44] 我覺得很厲害
[10:37.48 - 10:39.48] 那除了這個 tablet  search 之外呢
[10:39.48 - 10:41.36] 如果你想要得到更好的搜索結果
[10:41.36 - 10:43.52] 你可以去安裝這個 brave search
[10:43.52 - 10:44.28] 然後也是一樣
[10:44.28 - 10:46.76] 就是點擊這個添加 skills 按鈕
[10:46.76 - 10:47.92] 這裡有很多搜索結果
[10:47.92 - 10:49.08] 我推薦的是這個
[10:49.08 - 10:51.36] bad logic 它寫的 brave search 的 skill
[10:51.36 - 10:53.48] 因為 bad logic 其實是派的作者
[10:53.48 - 10:54.40] 我覺得它寫的 skill
[10:54.40 - 10:55.24] 會比較好一點
[10:55.24 - 10:56.72] 之後的步驟也跟剛剛一樣
[10:56.72 - 10:57.88] 這裡點鍵安裝
[10:57.88 - 10:58.72] 安裝好之後呢
[10:58.72 - 11:00.32] 我們去 brave search 官網
[11:00.32 - 11:01.16] 與註冊一個賬號
[11:01.16 - 11:02.32] 申請給 API key
[11:02.32 - 11:04.40] 然後把 API key 負置給我們的派 agent
[11:04.40 - 11:05.32] 讓它幫我們去配置
[11:05.32 - 11:05.84] 就可以了
[11:05.88 - 11:07.88] 好 搜索 skill 我們安裝完之後呢
[11:07.88 - 11:10.00] 第二類就是去讀文件的 skill
[11:10.00 - 11:10.88] PDF 相關呢
[11:10.88 - 11:13.64] 我推薦的是這個 open AI 發布的 skill
[11:13.64 - 11:16.44] 文字版的 PDF 它會提取文字來讀
[11:16.44 - 11:17.64] 掃描版PDF
[11:17.64 - 11:19.72] 你需要在派的模型裡面設置裡面
[11:19.72 - 11:21.72] 打開剛剛的那個圖像識邊能力
[11:21.72 - 11:23.88] 讓模型能夠看到PDF 裡面的圖
[11:23.88 - 11:24.32] 安裝
[11:24.32 - 11:26.28] 好了 PDF skill 我們安裝好之後呢
[11:26.28 - 11:28.40] 我用 dpc 可 v4 的技術報告
[11:28.40 - 11:29.00] 來測試一下
[11:29.00 - 11:31.84] 我把PDF 拖進我的這個工作目錄裡面
[11:31.84 - 11:32.80] 放進去之後呢
[11:32.80 - 11:33.40] 刷新一下
[11:33.40 - 11:35.52] 文件熱量器這邊就可以看到這個報告了
[11:35.52 - 11:37.12] 我們可以 add 這份報告
[11:37.12 - 11:37.88] 然後直接跟他說
[11:37.88 - 11:40.96] 讀取這個PDF 總結裡面的核心信息
[11:40.96 - 11:42.44] 然後我們看到這個派呢
[11:42.44 - 11:45.60] 會自己去調用我們剛剛安裝的這個PDF skill
[11:45.60 - 11:47.20] 把實際的報告都去讀完
[11:47.20 - 11:49.00] 最後整理成結構化的總結
[11:49.00 - 11:50.00] 這也的重點是
[11:50.00 - 11:51.88] 我不用去複製PDF的內容
[11:51.88 - 11:53.48] 也不用自己去提取文字
[11:53.48 - 11:54.68] 直接把文件丟給它
[11:54.68 - 11:55.20] 剩下的呢
[11:55.20 - 11:56.20] 叫它自己去處理
[11:56.20 - 11:56.84] 舉例反喪
[11:56.84 - 11:59.12] 其實 ppt 然後 what 的 excel
[11:59.12 - 12:00.28] 其實都能安裝 skill
[12:00.28 - 12:00.80] what的呢
[12:00.80 - 12:01.76] 是用來讀文檔的
[12:01.76 - 12:04.36] PDT 是用來拆這個原式文稿的
[12:04.40 - 12:05.96] 一個 excel 是用來處理表格的
[12:05.96 - 12:07.60] pp70 門到是最多的
[12:07.60 - 12:09.40] 這個視頻裡面我就先不展開了
[12:09.40 - 12:11.24] 後面有機會再做一個單獨的視頻
[12:11.24 - 12:12.24] 跟大家講解一下
[12:12.24 - 12:14.00] 這個視頻只跟大家展示這個
[12:14.00 - 12:15.92] 最基本的這個文件的讀取能力
[12:15.92 - 12:16.84] 到這一步為止
[12:16.84 - 12:19.36] 其實你的py agent 又能聯網去搜索
[12:19.36 - 12:22.08] 也能讀本地的各種類型的文件資料了
[12:22.08 - 12:23.20] 然後接下來第三步
[12:23.20 - 12:25.88] 我們想讓我們的py agent 能夠開口說話
[12:25.88 - 12:27.24] 所以還是用同樣的辦法
[12:27.24 - 12:29.12] 去安裝這個 edge tts skill
[12:29.12 - 12:30.96] 這個 skill 不需要任何帳號的
[12:30.96 - 12:31.92] 其實直接安裝
[12:31.92 - 12:32.72] 然後就能用了
[12:32.88 - 12:34.48] 剛才這個py agent 已經幫我們
[12:34.48 - 12:37.20] 生成了這個一份新聞的簡報
[12:37.20 - 12:39.24] 然後我現在想把這份簡報
[12:39.24 - 12:40.88] 變成語音跟網頁的
[12:40.88 - 12:43.68] 我們開一個新的繪畫窗口
[12:43.68 - 12:44.60] 按下這份文件
[12:44.60 - 12:47.08] 把這份文件改成一分鐘的口播稿
[12:47.08 - 12:47.96] 轉成語音
[12:47.96 - 12:50.04] 做一個 html 介面
[12:50.04 - 12:52.20] 裡面包含文稿和音頻
[12:52.20 - 12:53.32] 拍板簡單直觀
[12:53.32 - 12:55.28] 然後幫我打開這個網頁
[12:55.28 - 12:55.68] 發送
[12:56.80 - 12:57.68] 大概三分左右
[12:57.68 - 12:59.76] 這個py agent 突然幫我們跳出來了
[12:59.76 - 13:02.12] 一個我們剛才要求的 html 頁面
[13:02.12 - 13:03.40] 他剛剛先幫我們寫了文稿
[13:03.40 - 13:05.76] 然後再調用了 htts 生成音頻
[13:05.76 - 13:08.24] 然後寫了一個 html
[13:08.24 - 13:09.72] 把文稿跟音頻放進去
[13:09.72 - 13:11.04] 最後直接幫我談出了
