[00:00.00 - 00:01.38] 四个月没更新了
[02:08.72 - 02:10.56] 你怎么让AI去演一个角色呢
[02:10.56 - 02:12.44] 你可以再请求前面再一句
[02:12.44 - 02:14.00] 你是一个扣门的老板
[02:14.00 - 02:15.72] 你是一个挑剔了一叉
[02:15.72 - 02:16.40] 同一个问题
[02:16.40 - 02:17.04] 它的画风
[02:17.04 - 02:18.52] 就立刻就会变化
[02:18.52 - 02:19.68] 这就是Cython prompt
[02:19.68 - 02:20.56] 系统提示词
[02:20.56 - 02:21.40] Cython prompt
[02:21.40 - 02:22.72] 就是长这个样子的
[02:22.72 - 02:24.68] 左边是布加Cython提示词
[02:24.68 - 02:25.84] 然后右边是加了Cython
[02:25.84 - 02:26.84] 你提示词
[02:26.84 - 02:27.84] 他们的输出的结果
[02:27.84 - 02:29.40] 是完全风格是不一样
[02:29.40 - 02:30.84] 右边能看到Cython等于
[02:30.84 - 02:32.04] 你是一个扣门的老板
[02:32.04 - 02:34.36] 就给AI加了人社了
[02:34.36 - 02:35.52] 那它就会按照这个人社
[02:35.52 - 02:36.88] 来回复你的消息
[02:36.88 - 02:37.88] 这就是Cython prompt
[02:37.88 - 02:38.16] OK
[02:38.16 - 02:39.40] 下一个
[02:39.40 - 02:41.52] AI在计算数字的时候
[02:41.52 - 02:42.92] 大概率情况下它是错的
[02:42.92 - 02:44.24] 比如AI算123-45
[02:44.24 - 02:45.16] 常用123-45
[02:45.16 - 02:45.92] 从为什么老错呢
[02:45.92 - 02:47.60] 大盲型它完全是通过概率
[02:47.60 - 02:48.84] 来推测下一个数字
[02:48.84 - 02:49.72] 下一个文字
[02:49.72 - 02:50.68] 来回字里
[02:50.68 - 02:52.48] 我想大概率会梦一个数字给你
[02:52.48 - 02:53.76] 所以数字是不准的
[02:53.76 - 02:55.40] 那怎么再不掉用工具的情况下
[02:55.40 - 02:57.40] 提供AI的输出的准确率呢
[02:57.40 - 02:58.08] 答案就是
[02:58.08 - 02:59.40] 你只要加一句话
[02:59.40 - 03:00.40] 请一步一步算
[03:00.40 - 03:02.40] 那它就会按照一步一步的步骤
[03:02.40 - 03:03.24] 去计算
[03:03.24 - 03:04.76] 然后最终的结果就是正确
[03:04.76 - 03:05.76] 大概率是正确
[03:05.76 - 03:08.00] 你千万不要小看这一个小小的技能
[03:08.00 - 03:09.60] 它能够让准确率爆炸
[03:09.60 - 03:11.36] 那这也叫思维链提示
[03:11.36 - 03:11.60] OK
[03:11.60 - 03:14.56] 下一个是AI不按照你的格式输出怎么办
[03:14.56 - 03:15.88] 如果这个都不能完成的话
[03:15.88 - 03:17.08] 那就不用谈AI准的
[03:17.08 - 03:19.48] AI准的实无法创建
[03:19.48 - 03:21.92] 比如你跟它说一大句要求怎么输出
[03:21.92 - 03:23.76] 最后还是它就是不和你
[03:23.76 - 03:25.08] 输出的就是错的
[03:25.08 - 03:27.08] 你的AI准确就一直是有各种各样的法子
[03:27.08 - 03:28.40] 所以不能光输要求
[03:28.40 - 03:30.76] 你可以给它直接给它两三个例子
[03:30.76 - 03:32.40] 输出这样输出这样
[03:32.40 - 03:33.40] 再输出这样
[03:33.40 - 03:34.32] 再输出输出这样
[03:34.32 - 03:36.08] AI一看这样就懂了
[03:36.08 - 03:37.88] 把格式就可以锁死了
[03:37.88 - 03:39.36] 这个也叫FillShout
[03:39.36 - 03:40.24] 多样版提示
[03:40.24 - 03:41.44] 一个具体的例子
[03:41.44 - 03:42.64] 顶时行抽象说明
[03:42.64 - 03:43.88] 你只要给它一个例子
[03:43.88 - 03:44.88] 顶了你说实句话
[03:44.88 - 03:47.28] 那这也是提示词工程的一部分方法
[03:47.28 - 03:49.24] 让别小看这些小技巧
[03:49.24 - 03:49.48] OK
[03:49.48 - 03:50.08] 第六点
[03:50.08 - 03:51.48] AI
[03:51.48 - 03:52.56] 总是说一些废话
[03:52.56 - 03:53.48] 比如说好的
[03:53.48 - 03:54.20] 这是你想要的
[03:54.20 - 03:56.36] 但是我们并不想要这些废话
[03:56.36 - 03:57.36] 可能制了
[03:57.36 - 03:59.16] 你只想要一个刚刚进进的一个答案
[03:59.16 - 04:00.68] 不产达任何其他的信息
[04:00.68 - 04:01.56] 等等
[04:01.56 - 04:03.56] 这个也是A正的建设的钢匙
[04:03.56 - 04:04.32] 没有这个技能的话
[04:04.32 - 04:05.60] 也是不可能做出A正的
[04:05.60 - 04:07.56] 所以你在它要回答的位置
[04:07.56 - 04:09.44] 替它把第一个字提前写好
[04:09.44 - 04:11.52] 比如说时间写一个大棺号
[04:11.52 - 04:13.32] 然后AI没办法重头开始写
[04:13.32 - 04:15.08] 问题已经预田冲了
[04:15.08 - 04:16.28] 只要接着这个大棺号
[04:16.28 - 04:17.16] 继续往下写
[04:17.16 - 04:19.16] 它就可以直接吐出这顺
[04:19.16 - 04:20.88] 然后一句废话都没有
[04:20.88 - 04:22.64] 这个就叫预田冲
[04:22.64 - 04:24.56] 就是你帮它开头了
[04:24.56 - 04:26.28] 它已经没有开头的机会了
[04:26.28 - 04:27.88] 也就是说你把格式已经定死了
[04:27.88 - 04:29.64] 就叫预田冲
[04:29.64 - 04:31.64] 这也是做A正的一个
[04:31.64 - 04:33.24] 毕会的一个技能
[04:33.24 - 04:33.64] OK
[04:33.64 - 04:34.12] 第七点
[04:34.12 - 04:37.16] 怎么让A正在你想要的地方停止呢
[04:37.16 - 04:39.92] 这个也是制作A正的一个钢匙
[04:39.92 - 04:40.92] 你给它设计着停止
[04:40.92 - 04:41.64] 符号
[04:41.64 - 04:43.12] 比如观察
[04:43.12 - 04:44.84] 那AI写到这两个字的时候
[04:44.84 - 04:45.60] 它立马就停
[04:45.60 - 04:46.84] 然后把控制权在交给你
[04:46.84 - 04:47.96] 这个叫停止训练
[04:47.96 - 04:49.36] 也A正在循环避变
[04:49.36 - 04:52.04] 如果不设置停止训练的话
[04:52.04 - 04:54.40] AI可能会顺利手把工具的反对结果
[04:54.40 - 04:55.76] 自己编出来
[04:55.76 - 04:58.44] 也就是说它自己去幻想这个工具的结果
[04:58.44 - 05:00.48] 所以你的A正的可能会出现一些罢了
[05:00.48 - 05:03.48] 那左边是有停止符号的
[05:03.48 - 05:04.16] 输出结果
[05:04.16 - 05:05.48] 右边是没有停止符号的
[05:05.48 - 05:06.04] 输出结果
[05:06.04 - 05:06.88] 可以对比看见
[05:06.88 - 05:07.32] OK
[05:07.32 - 05:08.24] 第八点
[05:08.24 - 05:10.72] AI真的会调用工具吗
[05:10.72 - 05:11.64] 我必须告诉你
[05:11.64 - 05:14.56] 它AI根本就不会调用任何的工具
[05:14.56 - 05:17.16] AI实际上永远只做一件事情
[05:17.16 - 05:18.24] 就是吐次付串
[05:18.24 - 05:19.64] 只不过我们在大盟行外部
[05:19.64 - 05:20.48] 搭了一个盒子
[05:20.48 - 05:21.72] 然后告诉大盟行
[05:21.76 - 05:23.40] 输出指定格式的自付串
[05:23.40 - 05:24.76] 即可完成工具的调用
[05:24.76 - 05:26.52] 假如我们想要北京的天气
[05:26.52 - 05:28.16] 那我们可以告诉AI
[05:28.16 - 05:30.00] 你只要输出这一段这一层的
[05:30.00 - 05:31.36] 这层格式的参数
[05:31.36 - 05:33.96] 然后外部的框架收藏了这一串自付串
[05:33.96 - 05:35.80] 就可以去调用天气的API
[05:35.80 - 05:37.88] 然后把这个26度成
[05:37.88 - 05:39.68] 这几个结果反为给大盟行
[05:39.68 - 05:41.68] 然后你就可以收到这个
[05:41.68 - 05:42.76] 已经在天气了
[05:42.76 - 05:44.04] 这就是吐又袭
[05:44.04 - 05:45.48] 就是工具调用的协议
[05:45.48 - 05:48.44] 基本上就是这么简单的一个事情
[05:48.44 - 05:49.60] 这就是调用工具
[05:49.60 - 05:52.60] 这也是AZN的必备的一个技能
[05:52.60 - 05:54.64] 实际上有很多看似高伸的技术
[05:54.64 - 05:56.24] 在背后其实是原理上来看
[05:56.24 - 05:57.76] 其实非常简单
[05:57.76 - 05:59.08] OK 第9点
[05:59.08 - 06:01.60] AI怎么懂你公司内部的专业知识呢
[06:01.60 - 06:03.04] 实际上AI它并不懂你
[06:03.04 - 06:04.72] 公司内部的一些信息
[06:04.72 - 06:06.28] 你提问它之前
[06:06.28 - 06:08.16] 先用程序去闻到库里
[06:08.16 - 06:09.40] 查现犯的幻动
[06:09.40 - 06:11.28] 把这些断落塞进了promptu里
[06:11.28 - 06:14.28] 跟问题一起发给AI
[06:14.28 - 06:15.32] 所以它并不是懂
[06:15.32 - 06:16.48] 它是限毒性的
[06:16.48 - 06:17.48] 那这个就是RAG
[06:17.48 - 06:18.44] 比如你问一个问题
[06:18.44 - 06:20.72] RAG会提前去库里这找相关的碎片
[06:20.72 - 06:22.04] 塞到你的提示识里
[06:22.04 - 06:22.64] 基本的AI
[06:22.64 - 06:25.16] RAG就是减所增强生成
[06:25.16 - 06:26.68] 就是减所嘛
[06:26.68 - 06:27.64] 但是普通一句就是
[06:27.64 - 06:29.44] RAG是2024年的一个主流
[06:29.44 - 06:31.04] 实际上现在
[06:31.04 - 06:32.60] 谷流上像Klaude GT
[06:32.60 - 06:33.84] Klaude和 GTT这些模型
[06:33.84 - 06:34.92] 伤下的能越来越大
[06:34.92 - 06:36.64] 自己就可以去读本堂了
[06:36.64 - 06:37.76] 一小段一小段的去读
[06:37.76 - 06:38.44] 就像连一样
[06:38.44 - 06:39.84] 对RAG这条路未来怎么懂
[06:39.84 - 06:40.96] 好 因为还在分化
[06:40.96 - 06:41.88] OK 第10点
[06:41.88 - 06:43.60] AZN的是怎么自主角色的呢
[06:43.60 - 06:45.44] 我们拆开看其实简单到底谱
[06:45.44 - 06:46.24] 一个外有循环
[06:46.24 - 06:47.32] 加一个规模板
[06:47.36 - 06:48.72] 模板就找这样的思考
[06:48.72 - 06:49.80] 行动加观察
[06:49.80 - 06:51.20] AI就按照这个格式来图
[06:51.20 - 06:51.96] 你的代码呢
[06:51.96 - 06:52.64] 去识别
[06:52.64 - 06:53.28] 去执行
[06:53.28 - 06:54.64] 然后再把结果再撒回回来
[06:54.64 - 06:56.04] 转几小时就可以得出答案
[06:56.04 - 06:57.56] 然后咱们可以参考我之前
[06:57.56 - 06:59.16] 在第13点已经揭露过的
[06:59.16 - 07:01.32] AZN的框架原理图
[07:01.32 - 07:02.96] 大家可以再看一下
[07:02.96 - 07:04.20] 就是RAG的模式
[07:04.20 - 07:05.04] AZN的自主
[07:05.04 - 07:05.88] OK 第11点
[07:05.88 - 07:08.00] AI为什么动不动就下边换角
[07:08.00 - 07:09.68] 我们现在都知道它的本质
[07:09.68 - 07:10.80] 是根据你前面的字
[07:10.80 - 07:13.32] 然后拆出下一个最可能的字
[07:13.32 - 07:14.64] 它没有直到和不知道的感觉
[07:14.64 - 07:15.12] 你认为它什么
[07:15.12 - 07:16.60] 它的都可以拔出来一段话
[07:16.64 - 07:18.40] 这个就是自回归生成
[07:18.40 - 07:19.40] 换角是机制
[07:19.40 - 07:20.40] 它并不是一个bug
[07:20.40 - 07:21.64] 它就是AI
[07:21.64 - 07:23.08] 目前的AI它就是这种机制
[07:23.08 - 07:23.92] 所以重要的决策
[07:23.92 - 07:25.96] 永远要让它给你依据
[07:25.96 - 07:28.08] 就是让它根据试试来回复
[07:28.08 - 07:29.20] 然后你自己就要合适一遍
[07:29.20 - 07:29.84] 提问你问
[07:29.84 - 07:32.08] 你白在1985年发表过什么驻坐
[07:32.08 - 07:34.00] 然后AI回复1985年
[07:34.00 - 07:36.36] 发表了一个什么什么预光器
[07:36.36 - 07:38.08] 但是亚哥
[07:38.08 - 07:40.64] 还亚哥不知道李白已经死了1000多年了
[07:40.64 - 07:42.24] 所以说AI他没有说
[07:42.24 - 07:43.92] 我不知道这个事情
[07:43.92 - 07:45.64] 他永远只是接着拆下一次
[07:45.68 - 07:46.88] 那我通常的做法就是
[07:46.88 - 07:49.24] 跟AI说你去网上查一下子
[07:49.24 - 07:51.20] 李白在1985年发表过什么驻坐
[07:51.20 - 07:51.68] 这样的话
[07:51.68 - 07:53.64] 它就可以继续试试去做一些
[07:53.64 - 07:54.56] 搜索结果
[07:54.56 - 07:55.20] 它就可以查出来
[07:55.20 - 07:56.32] 而李白已经死了1000多年了
[07:56.32 - 07:57.00] 还不可能的事情
[07:57.00 - 08:00.48] 所以要让AI永远继续试试去说话
[08:00.48 - 08:02.36] 这样可以检查错误
[08:02.36 - 08:02.88] 最后一点
[08:02.88 - 08:03.64] 第12点
[08:03.64 - 08:04.44] 多个AI是等了
[08:04.44 - 08:05.72] 配合干一件大事的
[08:05.72 - 08:07.60] 就是你让一个大款型去当老板
[08:07.60 - 08:08.52] 接到任务之后
[08:08.52 - 08:09.24] 先去拆火
[08:09.24 - 08:11.04] 把每个火拆了一个小地
[08:11.04 - 08:13.12] 拆了一个子A针子
[08:13.12 - 08:14.96] 然后一个查机校
[08:14.96 - 08:16.32] 一个查酒店 一个查形成
[08:16.32 - 08:18.12] 然后把这个总的结果
[08:18.12 - 08:20.80] 汇报给一个总的大款型
[08:20.80 - 08:21.80] 结果汇报给
[08:21.80 - 08:23.56] 这就是多A针的边盘
[08:23.56 - 08:24.28] 那下面就是
[08:24.28 - 08:26.84] Cloud Core的A针的Teams的公布方式
[08:26.84 - 08:27.60] 一个主舞的A针台
[08:27.60 - 08:29.56] 然后下面有多个子A针
[08:29.56 - 08:30.68] 然后再把这个结果
[08:30.68 - 08:32.24] 汇总给主舞的A针台
[08:32.24 - 08:32.52] OK
[08:32.52 - 08:33.72] 那以上就是12个原理
[08:33.72 - 08:35.44] 从Message到多A针的串起来
[08:35.44 - 08:37.20] 就是A针台的全部联合
[08:37.20 - 08:38.08] 至少一个都不行
[08:38.08 - 08:39.12] 看完这期视频吧
[08:39.12 - 08:41.56] 你们应该对A针台的一个
[08:41.56 - 08:43.04] 可以基本上一个调节
[08:43.08 - 08:45.16] 结果A针的就是一些小小的技巧
[08:45.16 - 08:45.92] 多个小技巧
[08:45.92 - 08:46.80] 全部都合併到一起
[08:46.80 - 08:47.88] 就可以做出A针台
[08:47.88 - 08:49.16] 12个原理对应的可带
[08:49.16 - 08:49.92] 可以跑得带马
[08:49.92 - 08:50.84] 然后加上图片
[08:50.84 - 08:53.04] 还有K2的图几RBG
[08:53.04 - 08:53.92] 全部都打爆好了
[08:53.92 - 08:54.88] 在我的粉丝群里
[08:54.88 - 08:55.84] 你可以直接去粉丝群里
[08:55.84 - 08:56.60] 没被领取
[08:56.60 - 08:57.76] 再一期讲
[08:57.76 - 08:58.72] 下一期的分享是
[08:58.72 - 09:00.44] 我用一个小时开发的一个
[09:00.44 - 09:01.40] 一件安装龙虾
[09:01.40 - 09:03.56] 并能接入微信的一个小程序
[09:03.56 - 09:04.36] 一个小软件
[09:04.36 - 09:05.40] 大家可以提一下
[09:05.40 - 09:06.04] OK
[09:06.04 - 09:06.52] 明天见
