[00:00.59 - 00:03.39] 大家好,今天給大家分享一個非常火的倉庫
[02:44.64 - 02:47.24] 1556億的營收
[02:47.24 - 02:48.24] 1124
[02:48.24 - 02:50.44] 然後AS本雖然開出多
[02:50.44 - 02:51.84] 但是是長期的布局
[02:51.84 - 02:53.44] 然後這個是一個技術的
[02:53.44 - 02:54.44] 景氣的風險
[02:54.44 - 02:55.64] 這個就是關稅
[02:55.64 - 02:57.44] 類似之類的
[02:57.44 - 02:58.24] 它會綜合
[02:58.24 - 02:59.64] 然後最後給出了這個觀點
[02:59.64 - 03:02.94] 就是直觀
[03:02.94 - 03:04.34] 這個確定Agent
[03:04.34 - 03:06.54] 它有三個比較巧妙的設計
[03:06.54 - 03:08.34] 第一個是雙模型
[03:08.34 - 03:10.34] 它前10個的這個角色
[03:10.34 - 03:12.14] 是用便宜的模型
[03:12.14 - 03:13.34] 然後第二個
[03:13.34 - 03:14.54] 最後兩個拍板的模型
[03:14.54 - 03:15.74] 它是用貴的模型
[03:15.74 - 03:16.94] 相當於實習生
[03:16.94 - 03:18.14] 就收集信息
[03:18.14 - 03:19.14] 然後大概討論一下
[03:19.14 - 03:19.94] 然後最後老闆
[03:19.94 - 03:21.74] 通過這些信息來進行
[03:21.74 - 03:22.74] 最終的評判
[03:22.74 - 03:24.14] 評判會比較貴一點
[03:24.14 - 03:26.34] 第二個就記憶的反思
[03:26.34 - 03:27.94] 第一次它是角色蠢於Pending
[03:27.94 - 03:29.94] 第二次它就會拉真實的
[03:29.94 - 03:30.94] 所以然後進行
[03:30.94 - 03:32.94] 然後再寫反思
[03:32.94 - 03:34.94] 然後第三個就是
[03:34.94 - 03:36.94] 三級的降級
[03:36.94 - 03:42.08] 它幾乎尖容的所有的M廠商
[03:42.08 - 03:43.48] 這個是我的一個
[03:43.48 - 03:44.28] 針對它這個模型
[03:44.28 - 03:46.48] 撤平之後的一個觀察
[03:46.48 - 03:47.68] 跟思考
[03:47.68 - 03:49.68] 我覺得它問題最大的
[03:49.68 - 03:50.48] 就在於它的
[03:50.48 - 03:51.32] 四個分析師
[03:51.32 - 03:53.08] 接著最便宜的模型
[03:53.08 - 03:55.08] 因為四個分析師
[03:55.08 - 03:56.08] 它是整一個
[03:56.08 - 03:57.08] 我們後面這幾個
[03:57.08 - 04:00.08] 辨論、裁判、風險、拍板的地積
[04:00.08 - 04:01.08] 但你地積
[04:01.08 - 04:03.08] 如果你的智量不行的話
[04:03.08 - 04:04.08] 就它調研的智量不行的話
[04:04.08 - 04:05.08] 那其實後面這些
[04:05.08 - 04:06.08] 其實都說白了
[04:06.08 - 04:07.08] 可能可能會白扯
[04:07.08 - 04:08.08] 因為信息不準確
[04:08.08 - 04:10.08] 所以我覺得這個模型
[04:10.08 - 04:12.08] 還是需要進行改善
[04:12.08 - 04:14.08] 就是需要把四個分析師
[04:14.08 - 04:15.08] 它抓取的數據
[04:15.08 - 04:16.08] 首先要貴的模型去抓取
[04:16.08 - 04:17.08] 它求完之後
[04:17.08 - 04:19.08] 要論證它抓取來的信息
[04:19.08 - 04:20.08] 準備準確
[04:20.08 - 04:21.08] 就是它這個報告準備準確
[04:21.08 - 04:23.08] 我覺得這個模塊需要在
[04:23.08 - 04:24.08] 复杂畫下來
[04:24.08 - 04:25.08] 然後再到辨論、再到裁判
[04:25.08 - 04:28.08] 這樣整個的信息才是更精準的
[04:28.08 - 04:33.15] 然後最後我再做一個小小的總結
[04:33.15 - 04:34.15] 就是這12個A卷
[04:34.15 - 04:35.15] 是真的在相互辨論的
[04:35.15 - 04:37.15] 所以這個確定A卷
[04:37.15 - 04:39.15] 這個庫非常火的原因就在這裡
[04:39.15 - 04:40.15] 它比單一卷的
[04:40.15 - 04:41.15] 肯定是更優秀的
[04:41.15 - 04:43.15] 單一卷會自作自化
[04:43.15 - 04:45.15] 它比單一卷靠譜的很多
[04:46.15 - 04:48.15] 但它有的缺陷
[04:48.15 - 04:51.15] 後續會考慮進行改造改善
[04:51.15 - 04:53.15] 然後它這個多A卷的體系
[04:53.15 - 04:54.15] 這個確定A卷
[04:54.15 - 04:55.15] 它是沒有這個意外交互介面的
[04:55.15 - 04:57.15] 未來我也可以設計一個
[04:57.15 - 04:59.15] 交互的介面
[04:59.15 - 05:01.15] 然後再加上我的改造分享給大家
[05:01.15 - 05:04.15] 最後也歡迎大家收藏關注
[05:04.15 - 05:06.15] 期待我下一期的這個視頻
[05:06.15 - 05:07.15] 謝謝大家
