[00:00.00 - 00:02.96] 我知道你已经用上了opc.配好了考的code
[03:11.96 - 03:13.96] 分别创建巨型分解文件
[03:13.96 - 03:15.64] 必须要包含原住的页马
[03:15.64 - 03:17.52] 张杰概述和出场的人物
[03:17.52 - 03:19.04] 方面我在创作的功能中
[03:19.04 - 03:20.76] 不断地跳转其实是啥看
[03:20.76 - 03:24.68] 那下面就是根据巨型创作的长期描述
[03:24.68 - 03:25.96] 包含地点人物
[03:25.96 - 03:27.96] 关键对话和分进的建议
[03:27.96 - 03:30.08] 当然之前马克当文件的内容形式
[03:30.08 - 03:31.92] 也都是我和AIM反复电话
[03:31.92 - 03:33.64] 连带了很多版材的殿下来的
[03:33.64 - 03:35.32] 所以你看在整个文件里面
[03:35.32 - 03:36.72] 还有一个RIDAMID的文件
[03:36.72 - 03:38.36] 以及人物之中所以
[03:38.36 - 03:40.96] 这相当于是整个文件养的使用说明书
[03:40.96 - 03:41.96] 规定了接下来
[03:41.96 - 03:43.16] 比如我在创作第六回
[03:43.16 - 03:45.40] 甚至第90回史的巨型分解文件
[03:45.40 - 03:46.12] 应该怎么写
[03:46.12 - 03:47.28] 必须要包含哪些结构
[03:47.28 - 03:48.72] 以及人物的存活状态
[03:48.72 - 03:50.72] 以后我就不需要重复的跟AIM说
[03:50.76 - 03:52.44] 它完全可以暗裸所计
[03:52.44 - 03:53.96] 那我接下来就是第三步
[03:53.96 - 03:55.12] 管理文件结构
[03:55.12 - 03:56.88] 我要求将所有创作的漫画
[03:56.88 - 03:59.44] 都保持在创作中的这个大文件下中
[03:59.44 - 04:03.60] 怎么都能按照漫画创作和人物形象进行分类
[04:03.60 - 04:05.00] 但有新的角色出场
[04:05.00 - 04:07.76] 必须现在人物形象里面创作角色图
[04:07.76 - 04:09.72] 然后人物的状态
[04:09.72 - 04:11.56] 如果角色在某一张回退场
[04:11.56 - 04:14.32] 必须同不到刚才的那一份人物之中所以
[04:14.32 - 04:15.80] 确保文件中的所有练结
[04:15.80 - 04:17.60] 都是点击可以直接跳转的
[04:17.60 - 04:18.92] 方面和随时产愿
[04:18.96 - 04:21.48] 你看这不就是卡拉西说的VT模式吗
[04:21.48 - 04:24.20] OK 现在我们有了巨型瞬间人物形象
[04:24.20 - 04:26.28] 漫画设计书就可以开始创作了
[04:26.28 - 04:29.72] 来看一下这是我最终选用的第一回的全部漫画
[04:29.72 - 04:31.92] 人物完全使用了我指定的形象
[04:31.92 - 04:33.24] 相比最初的Demo
[04:33.24 - 04:34.24] 画面边的牌
[04:34.24 - 04:36.48] 刘白一进都明显高级了许多
[04:36.48 - 04:39.20] 已经出顾具有了5.5x漫画的位置
[04:39.20 - 04:40.72] 但是我必须要说清楚
[04:40.72 - 04:42.08] 绝对不是从一开始
[04:42.08 - 04:44.24] 每张漫画就都能够达到这个效果
[04:44.24 - 04:45.76] 即便我们花了很多经历
[04:45.76 - 04:48.04] 投业给AI相对完善的工作值
[04:48.04 - 04:50.92] 第一回的漫画我最终选择了42张
[04:50.92 - 04:52.28] 中间因为各种问题
[04:52.28 - 04:54.80] 比如说画风光盒是台词不对硬
[04:54.80 - 04:56.04] 人物形象错乱等的
[04:56.04 - 04:58.44] 重新修改产生的二创废篇更是高达
[04:58.44 - 05:00.04] 就是够让过程很痛苦
[05:00.04 - 05:01.20] 所以说重点来了
[05:01.20 - 05:04.32] 创作过程中我当然会不断的给AI提要求
[05:04.32 - 05:07.12] 针对画面风格比处人物等更多细节
[05:07.12 - 05:07.96] 不断的调整
[05:07.96 - 05:08.92] 比如我要求
[05:08.92 - 05:11.36] 以循环的神态必须保持储变不尽
[05:11.36 - 05:14.00] 阿菲的表情呢必须要保持少年的冷静
[05:14.00 - 05:16.92] 台词必须要遵循远住一比一的进行还原
[05:16.92 - 05:17.92] 进行度转能的
[05:17.92 - 05:18.88] 每次修改呢
[05:18.88 - 05:20.28] AI都会更加懂我一点
[05:20.28 - 05:21.72] 等第一回全部完成后
[05:21.72 - 05:22.68] 我会告诉AI
[05:22.68 - 05:24.52] 拿几页漫画的设计比处
[05:24.52 - 05:26.16] 拿几页是我特别喜欢的
[05:26.16 - 05:27.84] 拿些是以后进行出现的
[05:27.84 - 05:28.88] 其实这些反馈呢
[05:28.88 - 05:31.32] 帮我创建标准的画风三号文件
[05:31.32 - 05:33.12] 和作品风格直到全击
[05:33.12 - 05:34.64] 用来直到后续的操作
[05:34.64 - 05:35.12] 你看
[05:35.12 - 05:36.64] 这些文件详细进入了
[05:36.64 - 05:38.32] 我喜欢的风格远速
[05:38.32 - 05:39.52] 漫画风软等等
[05:39.52 - 05:41.88] 这都是AI需要不断学习的对象
[05:41.88 - 05:44.64] 如果说第一回漫画的达标律是50%
[05:44.64 - 05:46.72] 那么第二回就有可能是70%
[05:46.84 - 05:47.84] 在整个过程中
[05:47.84 - 05:49.40] 我们其实创作了很多
[05:49.40 - 05:51.04] 分给AI看的参考指南
[05:51.04 - 05:52.08] 但是文件太多
[05:52.08 - 05:53.72] 也就因为这太长的山下路
[05:53.72 - 05:55.24] 同样会造成AI的换拳
[05:55.24 - 05:57.04] 而且我可能每次都给AI说
[05:57.04 - 05:59.04] 你去看这三四个文件学习
[05:59.04 - 06:00.36] 万一它漏掉了怎么办
[06:00.36 - 06:01.24] 所以说第四步
[06:01.24 - 06:02.20] 很关键的来了
[06:02.20 - 06:03.72] 我让AI全面回顾
[06:03.72 - 06:06.20] 我创造过程中的所有环节和要求
[06:06.20 - 06:07.88] 把所有需要的引用的文件
[06:07.88 - 06:09.16] 全部设作为双链
[06:09.16 - 06:10.92] 然后在整个性文件家中
[06:10.92 - 06:13.28] 单独创建一份工作人员的说明书
[06:13.28 - 06:14.04] 也就是这个
[06:14.04 - 06:16.00] 不管到哪里打开这个项目
[06:16.04 - 06:18.32] 所有AI都必须要先约读这个文件
[06:18.32 - 06:19.32] 才能够干活
[06:19.32 - 06:20.08] 你看这里面
[06:20.08 - 06:22.48] 严格进入了我所有的重要指示
[06:22.48 - 06:24.68] 并且它会随着漫画的更新而更新
[06:24.68 - 06:26.88] 这个就是整个项目的中央大脑
[06:26.88 - 06:27.76] 然后第五步
[06:27.76 - 06:29.44] 针对画面和人物
[06:29.44 - 06:30.44] 不把自己的要求
[06:30.44 - 06:31.80] 添加进寶玉斯六思
[06:31.80 - 06:34.68] 创建了专属小里飞刀的飞刀史给用死
[06:34.68 - 06:35.88] 现在只要我说
[06:35.88 - 06:37.24] 创作小里飞刀漫画
[06:37.24 - 06:38.80] 那它就会自动触发
[06:38.80 - 06:41.40] 它会先约读这份工作流出明书
[06:41.40 - 06:43.40] 和我们漫画创作的所有步骤
[06:43.40 - 06:44.60] 途步我的项目进度
[06:44.60 - 06:45.48] 按照需要
[06:45.52 - 06:47.00] 一次创作巨型分解
[06:47.00 - 06:47.68] 人物形象
[06:47.68 - 06:48.76] 以及最后的漫画
[06:48.76 - 06:49.84] 哪怕画了台电脑
[06:49.84 - 06:52.36] 只要我考虑了这个项目和飞刀史六思
[06:52.36 - 06:52.96] 不管到哪
[06:52.96 - 06:54.40] AI立马就能干活
[06:54.40 - 06:57.04] 而且我再不需要担心风格一致性问题
[06:57.04 - 06:57.92] 你向第四回
[06:57.92 - 06:58.84] 完整的漫画
[06:58.84 - 07:00.68] 我最终选用了38张
[07:00.68 - 07:02.52] 但是废篇只有十几张
[07:02.52 - 07:03.64] 花废从三十刀
[07:03.64 - 07:04.72] 降低到了十刀
[07:04.72 - 07:06.12] 这就是自我进化
[07:06.12 - 07:07.76] 其实你够见任何的工作流
[07:07.76 - 07:10.12] 都可以参考我这套训练AI的思路
[07:10.12 - 07:11.96] 认真打磨本地漫画到文件
[07:11.96 - 07:14.00] 让AI清晰的知道每个项目的
[07:14.00 - 07:15.00] 只能和拳线
[07:15.00 - 07:16.12] 也都不够进度
[07:16.12 - 07:18.28] 漫画创作能需要设计分裂
[07:18.28 - 07:19.08] 画面边盘
[07:19.08 - 07:20.48] 多人物的台词组合
[07:20.48 - 07:21.24] 创作文案
[07:21.24 - 07:22.52] 其实要简单的多
[07:22.52 - 07:23.20] 我们都知道
[07:23.20 - 07:24.64] AI的换卷没法避免
[07:24.64 - 07:26.04] 并且对话的次数越多
[07:26.04 - 07:27.84] 出现换卷的概率就越高
[07:27.84 - 07:30.72] 这时候使用Opc面的优势就体现出来了
[07:30.72 - 07:32.88] 所以精心打磨自己的本地知识库
[07:32.88 - 07:33.88] 真的非常重要
[07:33.88 - 07:36.00] 像我就会把自己大部分的物料
[07:36.00 - 07:37.36] 显作书籍思考
[07:37.36 - 07:39.16] 都存在不同的文件俩项目
[07:39.16 - 07:41.36] 每一个都包含单独的马上到文件
[07:41.36 - 07:42.52] 毕竟我会告诉AI
[07:42.56 - 07:44.20] 每个文件俩是用来做什么
[07:44.20 - 07:45.84] 哪些是可以互相调用的
[07:45.84 - 07:48.56] 遇到可能会需要重复输入提示词的流程
[07:48.56 - 07:50.00] 我就会信件一个词给我词
[07:50.00 - 07:52.28] 只要你深刻理解我上面分享的词路
[07:52.28 - 07:53.48] 其实你也就明白了
[07:53.48 - 07:54.52] 最近爆火的
[07:54.52 - 07:56.36] 艾马是A振腿的底层邏輯
[07:56.36 - 07:58.56] 这样你的知识库就不再是死的VT
[07:58.56 - 07:59.76] 而是一号火的系统
[07:59.76 - 08:00.08] 好
[08:00.08 - 08:01.32] 那么现在问题来了
[08:01.32 - 08:03.76] 将来你的本地文件肯定是越来越多
[08:03.76 - 08:05.76] 万一AI误删了重要文件
[08:05.76 - 08:07.04] 或者说改动不满意
[08:07.04 - 08:08.96] 你想要回退上一个版本怎么办
[08:08.96 - 08:11.56] 我前期创造过程中经常出现这样的问题
[08:11.56 - 08:14.20] 比如说AI创作了一张我很满意的动画
[08:14.20 - 08:16.36] 它的色彩人物分析都很完美
[08:16.36 - 08:17.96] 但就是台词没有对应上
[08:17.96 - 08:20.80] 即便我严肃要用它务必只能修盖台词
[08:20.80 - 08:23.16] 结果它依然降纸覆盖了整个文件
[08:23.16 - 08:24.84] 就算让它返回上一版本
[08:24.84 - 08:26.92] AI能做的也就只能是参考
[08:26.92 - 08:28.28] 脚本带满重新出卡
[08:28.28 - 08:30.04] 你一定得不到原来想要的出口
[08:30.04 - 08:30.68] 睡觉来
[08:30.68 - 08:33.04] 你料学会使用GIT进行版本控制
[08:33.04 - 08:34.32] 这是你的安全网
[08:34.32 - 08:35.72] 首先来到设置
[08:35.72 - 08:37.16] 第三方插件
[08:37.16 - 08:39.60] 插件市场搜索安装GIT
[08:39.60 - 08:41.36] 这里直接安装病奇用
[08:41.36 - 08:43.36] 如果你的握头还不是一个GIT的倉库
[08:43.36 - 08:44.92] 需要先进行出实化
[08:44.92 - 08:46.04] 你需要打开中温
[08:46.04 - 08:48.72] 中端也可以在插件市场里安装
[08:48.72 - 08:50.72] 完成之后点击这里
[08:50.72 - 08:51.80] 选择整合式
[08:51.80 - 08:54.16] 就能直接在opc店中打开
[08:54.16 - 08:55.40] 你要输入GIT
[08:55.40 - 08:56.40] 引尼特
[08:56.40 - 08:58.00] 对倉库进行出实化
[08:58.00 - 08:59.84] 然后你需要去GIT Hub中
[08:59.84 - 09:02.00] 新建一个私人的倉库
[09:02.00 - 09:04.08] 等低数据一定要选择不公开
[09:04.08 - 09:06.32] 这里面就是你opc店的远程辈奋
[09:06.32 - 09:08.52] 一旦发生错误可以随时毁退
[09:08.52 - 09:11.24] 现在你需要把本地的opc店倉库
[09:11.24 - 09:12.72] 和GIT Hub连接起来
[09:12.72 - 09:15.20] 直接把我给你的这段提示词发给AI
[09:15.20 - 09:19.00] 连接成功后回到opc店设置里的GIT插件
[09:19.00 - 09:21.08] 将这里的时间设置为十分钟
[09:21.08 - 09:22.88] 或者你觉得合适的时间
[09:22.88 - 09:24.92] 日常使用你不需要做任何事情
[09:24.92 - 09:27.04] 每个几分钟插件就会自动体秀
[09:27.04 - 09:28.12] 推送GIT Hub
[09:28.12 - 09:29.20] 相当于你的知识库
[09:29.20 - 09:31.80] 有了一个实实的备份加完整的历史
[09:31.80 - 09:33.92] AIP量处理文件的能力越强
[09:33.92 - 09:35.92] 你就越需要版本控制来都抵
[09:35.92 - 09:37.64] 所以说这可以说是必选项
[09:37.64 - 09:39.48] 我也非常推荐你在中端中
[09:39.48 - 09:41.56] 提前安装好GIT Hub的CLA
[09:41.56 - 09:43.32] 这样整体安装会更加简单
[09:43.32 - 09:44.60] 如果你还是有问题
[09:44.60 - 09:46.48] 就直接把我的文囊发给AI
[09:46.48 - 09:47.48] 让它帮你登聚
[09:47.48 - 09:48.72] GIT版本控制内容
[09:48.72 - 09:50.00] 直接帮你配置好
[09:50.00 - 09:50.52] 好的
[09:50.52 - 09:53.20] 现在你已经知道了怎么管理本地信息
[09:53.20 - 09:56.60] 也已经会用CRAW的加opc店协助产处内容
[09:56.60 - 09:59.40] 加来你特别需要利用文章添加插土
[09:59.40 - 10:01.24] 并且把它放置在合适的位置
[10:01.24 - 10:04.60] 这时候我们就需要调用导渔Skill中的另一项技能
[10:04.60 - 10:06.76] 自动创作并且插入配途
[10:06.76 - 10:09.36] 你看这边文章就是我本期内容的文团
[10:09.36 - 10:11.36] 路着的时候我还没有整理文档
[10:11.36 - 10:13.12] 现在直接演示给你能看
[10:13.12 - 10:14.56] 调用导渔Skill
[10:14.56 - 10:18.20] 首先将这片文章整理美适合控制的话发布的版本
[10:18.20 - 10:20.44] 注意添加合适的标题和分段
[10:20.44 - 10:21.28] 注意排版
[10:21.28 - 10:23.00] 配色需要简洁清爽
[10:23.00 - 10:25.60] 并且我需要你在合适的位置添加插土
[10:25.60 - 10:27.68] 请注意不要覆盖当前的文件
[10:27.68 - 10:30.00] 我需要你在五年下中重新创建
[10:32.62 - 10:36.30] 你看这里它会让我们选择配途的风格和数量
[10:36.30 - 10:39.18] 我这里面选一下选全场认同
[10:39.18 - 10:42.22] 插土的密度选择均衡
[10:42.22 - 10:45.50] 然后视约风格有四种你可以选
[10:45.50 - 10:47.10] 无人随便选一个
[10:47.10 - 10:48.46] 然后提交
[10:48.46 - 10:49.94] 注意这里声突
[10:49.94 - 10:52.38] 它需要调动奈喽不达达的APP
[10:52.38 - 10:55.50] 免费额度不高的话可能会产生一点点的费用
[10:55.50 - 10:57.26] 我这些费用是可以接受的
[10:57.26 - 11:00.18] 然后我们继续给大家一首歌的时间
[11:00.18 - 11:01.18] 来看看效果
[11:01.18 - 11:01.98] 好你看
[11:01.98 - 11:04.78] 它先帮我们进行一篇新文章的格式化
[11:04.78 - 11:06.94] 加了完善的元数据和结构
[11:06.94 - 11:09.34] 然后对插土的位置进行了规划
[11:09.34 - 11:12.22] 自己写了六个生成插土的题词
[11:12.22 - 11:13.98] 然后进行图片的生成
[11:13.98 - 11:15.98] 然后它现在已经生成了六张插土
[11:15.98 - 11:17.98] 必须插入到一篇新的文章中
[11:17.98 - 11:19.34] 插土的位置在这里
[11:19.34 - 11:21.98] 我们先来点开看一下六张图片
[11:21.98 - 11:22.82] 这篇它
[11:22.82 - 11:26.54] 我是没想到它自己创造了APP的随花的人物
[11:26.54 - 11:29.34] 然后这边都是根据我文章的一些
[11:29.34 - 11:32.22] 行文的一些要求去进行的图片创作
[11:32.22 - 11:34.30] 你看图片其实还是挺好看的
[11:34.30 - 11:36.46] 然后我们来看一下这篇先生的文章
[11:36.46 - 11:37.98] 就在这个五年假里面
[11:37.98 - 11:38.74] 来看一下
[11:38.74 - 11:42.62] 感觉一下它的位置和内容是不是都还挺合适的
[11:42.62 - 11:43.18] 要知道
[11:43.18 - 11:44.70] 从天排版插土
[11:44.70 - 11:47.26] 真的是件非常废力不讨好的工具
[11:47.26 - 11:49.58] 但现在只需要一个Skills就能直接搞定
[11:49.58 - 11:51.26] 这样内容形式和圣图质量
[11:51.26 - 11:53.10] 对于玩而言是完全够用的
[11:53.10 - 11:54.66] 如果你平常刷推特
[11:54.66 - 11:56.66] 就会发现有非常多优质的文章
[11:56.66 - 11:59.18] 也都是采用类似的排版和配方
[11:59.18 - 12:01.26] 可能我们都是用了相同的Skills
[12:01.26 - 12:02.18] 另外说一下
[12:02.18 - 12:04.62] 宝玉Skills是可以直接帮你一件发布
[12:04.62 - 12:05.82] 公众号和推特的
[12:05.82 - 12:08.58] 全部的功能你们都可以自己安装体验一下
[12:08.58 - 12:08.98] OK
[12:08.98 - 12:11.42] 现在我们终于来到最终的发布环节
[12:11.42 - 12:14.22] 虽然我刚提到宝玉Skills是可以直接完成
[12:14.22 - 12:17.18] 但是我还是想再给你推荐一个更加精液的工具
[12:17.18 - 12:18.54] 至于一款开源的插件
[12:18.54 - 12:21.86] 可以在opc 店中直接实现手机画面实施运
[12:21.86 - 12:23.50] 效果就是这样
[12:23.50 - 12:25.38] 你看我这篇公众号的文章
[12:25.38 - 12:28.14] 直接在右边的插件中就可以同步
[12:28.14 - 12:30.26] 而且这个排版之间就是之后发送到
[12:30.26 - 12:31.98] 你手机御软的一个效果
[12:31.98 - 12:33.98] 点击这里可以修改主题色
[12:33.98 - 12:35.66] 主题色就是这些标题的颜色
[12:35.66 - 12:37.42] 比如说我现在设置成了重色
[12:37.42 - 12:39.30] 你看这里立马就发生了变化
[12:39.30 - 12:41.02] 包括这个二栏4标题
[12:41.02 - 12:44.26] 这篇字体推荐的是16px的
[12:44.26 - 12:46.30] 我一般会使用14px
[12:46.30 - 12:47.34] 也就是这个小号
[12:47.34 - 12:50.90] 然后这篇页面两侧600都可以自己调整
[12:50.90 - 12:53.10] 比方说我随意点几篇别的文章
[12:53.10 - 12:57.06] 你看这篇都是可以直接显示发布之后的效果
[12:57.06 - 13:00.18] 也就是说以后你只需要在opc 店里面专注创作
[13:00.18 - 13:02.14] 修改排版预览这些小事
[13:02.14 - 13:03.14] 你顺手就干了
[13:03.14 - 13:05.70] 而且完全不需要登录平台在20篇级了
[13:05.70 - 13:06.58] 更觉得是
[13:06.58 - 13:09.82] 这些图片素材也不需要专门的网页登录上传
[13:09.82 - 13:11.98] 这些图双链也是可以直接保存的
[13:11.98 - 13:15.06] 我之前发布漫画的图文需要一张一张的上传排版
[13:15.06 - 13:16.30] 单独设计我自个是
[13:16.30 - 13:19.06] 现在直接全部都在opc 在中心间一个马上档
[13:19.06 - 13:20.14] 就是直接完成了
[13:20.14 - 13:21.90] 真正实现所见及所得
[13:21.90 - 13:23.02] 我第一次使用的时候
[13:23.02 - 13:24.30] 确实有被经验到
[13:24.30 - 13:25.82] 创作效率直接起飞
[13:25.82 - 13:26.94] 安装步骤很简单
[13:26.94 - 13:28.94] 你在视频里跟我走一遍就ok了
[13:28.94 - 13:31.22] 首先我们还是来到这个差距人市场
[13:32.22 - 13:33.86] 在这里搜索
[13:33.86 - 13:35.38] DRAT差距
[13:35.38 - 13:36.78] 先把这个安装上
[13:36.78 - 13:38.78] 安装上之后能来到这里
[13:38.78 - 13:40.38] 点击这里的A的plaping
[13:40.38 - 13:42.78] 然后把倉库的地址放在这里
[13:42.78 - 13:45.98] 然后直接点击添加就可以直接帮你安装好
[13:45.98 - 13:48.42] 未来有新的更新也可以直接点击这里
[13:48.42 - 13:51.50] 安装好的差距就会直接在这里面显示
[13:51.50 - 13:54.42] 然后你可以直接在这里面添加自己的微信装号
[13:54.42 - 13:57.30] 输入APPID还有开发什么药就可以了
[13:57.30 - 13:58.74] 点击保存就ok
[13:58.74 - 13:59.58] 同步了之后
[13:59.70 - 14:00.78] 点击这里的发送
[14:00.78 - 14:03.78] 就可以直接上传到微信公众平台的曹老乡
[14:03.78 - 14:06.26] 在这里也可以直接上传方面和摘药
[14:06.26 - 14:07.50] 我觉得太喜欢这种
[14:07.50 - 14:10.98] 一个本地势库可以远程练尖其他平台的交互方式
[14:10.98 - 14:13.18] 只要你使用过就知道有多减少时间
[14:13.18 - 14:15.58] 但如果你要发送的是飞书练尖
[14:15.58 - 14:19.86] 这个时候如果你的中端同山装了opc.com和飞书的CLI
[14:19.86 - 14:21.74] 那么你完全可以通过Crow code
[14:21.74 - 14:24.34] 直接从中端操作这两个位置的文件
[14:24.34 - 14:27.34] 我们直接在opc.com里面打开中端
[14:28.34 - 14:30.86] 比方我直接在这里跟大家说
[14:30.86 - 14:33.34] 多么把这份文件发送到飞书
[14:33.34 - 14:35.34] 并且给我一个可以分享的练尖
[14:35.34 - 14:39.34] 然后把这篇文件的路纪里处置过来
[14:39.34 - 14:42.12] 他完成工作之后
[14:42.12 - 14:45.12] 我们点击这里的练尖是可以直接打开飞书的
[14:45.12 - 14:47.92] 你看这个可能就是我稍后发给你们的文道
[14:47.92 - 14:49.12] 在全部的创造公众中
[14:49.12 - 14:50.72] 我试着都没有打开飞书
[14:50.72 - 14:52.32] 这文道我稍微改动一下
[14:52.32 - 14:53.92] 就可以直接使用了
[14:53.92 - 14:55.92] 是不是真的很节省时间
[14:55.92 - 14:57.92] 我之前视频的文道和资源
[14:57.92 - 14:59.92] 也都是通过这种方式去制作的
[14:59.92 - 15:00.64] 好的
[15:00.64 - 15:02.92] 我们现在已经完整地走完了一整套
[15:02.92 - 15:05.92] 从创作排版发布的内容创作权流程
[15:05.92 - 15:06.72] 我有自信
[15:06.72 - 15:08.92] 看到这里你一定有非常大的收获
[15:08.92 - 15:10.12] 从此你的本地知识库
[15:10.12 - 15:12.12] 可不仅仅是收集资源的地方
[15:12.12 - 15:13.32] 它是你的第二大脑
[15:13.32 - 15:15.32] 共识会持续进化的甲鞭丝
[15:15.32 - 15:16.52] 回顾卡巴西的方法
[15:16.52 - 15:18.92] 它教我们够见的是一个静态的知识库
[15:18.92 - 15:20.32] 收集练尖所
[15:20.32 - 15:21.52] 但我今天教你的
[15:21.52 - 15:23.12] 是一套动态智能系统
[15:23.12 - 15:24.52] 理解创造进化
[15:24.52 - 15:26.12] 使用工具只是第一步
